name,scenario_id,seed,kind,returncode,stderr_empty,stdout_lines
realistic_2pct_seed44_threshold_d8_a005_windowed_csv,realistic_2pct,44,windowed_csv,0,1,21
realistic_2pct_seed44_threshold_d8_a005_migration_trace,realistic_2pct,44,migration_trace,0,1,7
realistic_2pct_seed44_threshold_d2_a010_csv,realistic_2pct,44,csv,0,1,2
realistic_2pct_seed44_threshold_d2_a010_windowed_csv,realistic_2pct,44,windowed_csv,0,1,21
realistic_2pct_seed44_threshold_d2_a010_migration_trace,realistic_2pct,44,migration_trace,0,1,23
realistic_2pct_seed44_threshold_d4_a010_csv,realistic_2pct,44,csv,0,1,2
realistic_2pct_seed44_threshold_d4_a010_windowed_csv,realistic_2pct,44,windowed_csv,0,1,21
realistic_2pct_seed44_threshold_d4_a010_migration_trace,realistic_2pct,44,migration_trace,0,1,13
realistic_2pct_seed44_threshold_d6_a010_csv,realistic_2pct,44,csv,0,1,2
realistic_2pct_seed44_threshold_d6_a010_windowed_csv,realistic_2pct,44,windowed_csv,0,1,21
realistic_2pct_seed44_threshold_d6_a010_migration_trace,realistic_2pct,44,migration_trace,0,1,9
realistic_2pct_seed44_threshold_d8_a010_csv,realistic_2pct,44,csv,0,1,2
realistic_2pct_seed44_threshold_d8_a010_windowed_csv,realistic_2pct,44,windowed_csv,0,1,21
realistic_2pct_seed44_threshold_d8_a010_migration_trace,realistic_2pct,44,migration_trace,0,1,7
realistic_2pct_seed44_evidence_w2_d4_csv,realistic_2pct,44,csv,0,1,2
realistic_2pct_seed44_evidence_w2_d4_windowed_csv,realistic_2pct,44,windowed_csv,0,1,21
realistic_2pct_seed44_evidence_w2_d4_migration_trace,realistic_2pct,44,migration_trace,0,1,13
realistic_2pct_seed44_evidence_w2_d6_csv,realistic_2pct,44,csv,0,1,2
realistic_2pct_seed44_evidence_w2_d6_windowed_csv,realistic_2pct,44,windowed_csv,0,1,21
realistic_2pct_seed44_evidence_w2_d6_migration_trace,realistic_2pct,44,migration_trace,0,1,9
realistic_2pct_seed44_evidence_w3_d4_csv,realistic_2pct,44,csv,0,1,2
realistic_2pct_seed44_evidence_w3_d4_windowed_csv,realistic_2pct,44,windowed_csv,0,1,21
realistic_2pct_seed44_evidence_w3_d4_migration_trace,realistic_2pct,44,migration_trace,0,1,13
realistic_2pct_seed44_evidence_w3_d6_csv,realistic_2pct,44,csv,0,1,2
realistic_2pct_seed44_evidence_w3_d6_windowed_csv,realistic_2pct,44,windowed_csv,0,1,21
realistic_2pct_seed44_evidence_w3_d6_migration_trace,realistic_2pct,44,migration_trace,0,1,9
realistic_2pct_seed44_topk_k2_d4_csv,realistic_2pct,44,csv,0,1,2
realistic_2pct_seed44_topk_k2_d4_windowed_csv,realistic_2pct,44,windowed_csv,0,1,21
realistic_2pct_seed44_topk_k2_d4_migration_trace,realistic_2pct,44,migration_trace,0,1,13
realistic_2pct_seed44_topk_k2_d6_csv,realistic_2pct,44,csv,0,1,2
realistic_2pct_seed44_topk_k2_d6_windowed_csv,realistic_2pct,44,windowed_csv,0,1,21
realistic_2pct_seed44_topk_k2_d6_migration_trace,realistic_2pct,44,migration_trace,0,1,9
realistic_2pct_seed44_topk_k4_d4_csv,realistic_2pct,44,csv,0,1,2
realistic_2pct_seed44_topk_k4_d4_windowed_csv,realistic_2pct,44,windowed_csv,0,1,21
realistic_2pct_seed44_topk_k4_d4_migration_trace,realistic_2pct,44,migration_trace,0,1,13
realistic_2pct_seed44_topk_k4_d6_csv,realistic_2pct,44,csv,0,1,2
realistic_2pct_seed44_topk_k4_d6_windowed_csv,realistic_2pct,44,windowed_csv,0,1,21
realistic_2pct_seed44_topk_k4_d6_migration_trace,realistic_2pct,44,migration_trace,0,1,9
realistic_2pct_seed44_hybrid_w2_k2_d4_c1_csv,realistic_2pct,44,csv,0,1,2
realistic_2pct_seed44_hybrid_w2_k2_d4_c1_windowed_csv,realistic_2pct,44,windowed_csv,0,1,21
realistic_2pct_seed44_hybrid_w2_k2_d4_c1_migration_trace,realistic_2pct,44,migration_trace,0,1,13
realistic_2pct_seed44_hybrid_w2_k4_d4_c1_csv,realistic_2pct,44,csv,0,1,2
realistic_2pct_seed44_hybrid_w2_k4_d4_c1_windowed_csv,realistic_2pct,44,windowed_csv,0,1,21
realistic_2pct_seed44_hybrid_w2_k4_d4_c1_migration_trace,realistic_2pct,44,migration_trace,0,1,13
realistic_2pct_seed42_event_trace,realistic_2pct,42,event_trace,0,1,14
overlap_4pct_seed42_vanilla_ec_csv,overlap_4pct,42,csv,0,1,2
overlap_4pct_seed42_vanilla_ec_windowed_csv,overlap_4pct,42,windowed_csv,0,1,21
overlap_4pct_seed42_late_binding_csv,overlap_4pct,42,csv,0,1,2
overlap_4pct_seed42_late_binding_windowed_csv,overlap_4pct,42,windowed_csv,0,1,21
overlap_4pct_seed42_timeout_degraded_read_csv,overlap_4pct,42,csv,0,1,2
overlap_4pct_seed42_timeout_degraded_read_windowed_csv,overlap_4pct,42,windowed_csv,0,1,21
overlap_4pct_seed42_t28_default_csv,overlap_4pct,42,csv,0,1,2
overlap_4pct_seed42_t28_default_windowed_csv,overlap_4pct,42,windowed_csv,0,1,21
overlap_4pct_seed42_t28_default_migration_trace,overlap_4pct,42,migration_trace,0,1,7
overlap_4pct_seed42_migration_disabled_csv,overlap_4pct,42,csv,0,1,2
overlap_4pct_seed42_migration_disabled_windowed_csv,overlap_4pct,42,windowed_csv,0,1,21
overlap_4pct_seed42_migration_disabled_migration_trace,overlap_4pct,42,migration_trace,0,1,1
overlap_4pct_seed42_threshold_d2_a005_csv,overlap_4pct,42,csv,0,1,2
overlap_4pct_seed42_threshold_d2_a005_windowed_csv,overlap_4pct,42,windowed_csv,0,1,21
overlap_4pct_seed42_threshold_d2_a005_migration_trace,overlap_4pct,42,migration_trace,0,1,40
overlap_4pct_seed42_threshold_d4_a005_csv,overlap_4pct,42,csv,0,1,2
overlap_4pct_seed42_threshold_d4_a005_windowed_csv,overlap_4pct,42,windowed_csv,0,1,21
overlap_4pct_seed42_threshold_d4_a005_migration_trace,overlap_4pct,42,migration_trace,0,1,22
overlap_4pct_seed42_threshold_d6_a005_csv,overlap_4pct,42,csv,0,1,2
overlap_4pct_seed42_threshold_d6_a005_windowed_csv,overlap_4pct,42,windowed_csv,0,1,21
overlap_4pct_seed42_threshold_d6_a005_migration_trace,overlap_4pct,42,migration_trace,0,1,15
overlap_4pct_seed42_threshold_d8_a005_csv,overlap_4pct,42,csv,0,1,2
overlap_4pct_seed42_threshold_d8_a005_windowed_csv,overlap_4pct,42,windowed_csv,0,1,21
