scenario_id,strategy_id,strategy_kind,health_theta_d,health_alpha_d,health_migration_evidence_windows,health_migration_top_k_per_window,health_migration_cooldown_windows,scenario,num_disks,seed,num_reads,num_stripes,zipf_s,num_windows,window_size,policy,timeout_ms,p50_ms,p95_ms,p99_ms,p99_improvement_pct,post_onset_p95_auc_ms,post_onset_p99_auc_ms,issued_shard_reads,bandwidth_overhead_pct,parity_reads,pre_slowdown_parity_reads,recovery_parity_reads,proactive_or_degraded_reads,decode_count,migration_triggers,migration_true_positives,migration_false_positives,migration_false_negatives,first_detection_latency_reads,first_mitigation_latency_reads,recovery_regret_reads,post_warmup_windowed_p99_ms,severe_window_p99_ms,read_bypass_eligible_events,read_bypass_triggered_events,read_bypass_coverage_pct
realistic_2pct,migration_disabled,disabled,12,0.05,0,0,0,dynamic_realistic_100d_2pct_hdd,100,43,1000000,5000,1.0,20,50000,health_ec,15.0,12.5,16.9,19.0,38.7,1.2,4.9,4018411,0.5,18411,0,5642,18411,18058,0,0,0,588,634,634,10927,18.9,18.8,16719,15421,92.2
realistic_2pct,threshold_d2_a005,threshold_alpha,2,0.05,0,0,0,dynamic_realistic_100d_2pct_hdd,100,43,1000000,5000,1.0,20,50000,health_ec,15.0,12.5,16.9,19.0,38.8,0.8,4.3,4008829,0.2,8829,0,2568,8829,8574,21,21,0,544,634,634,5269,18.9,18.8,8299,6915,83.3
realistic_2pct,threshold_d4_a005,threshold_alpha,4,0.05,0,0,0,dynamic_realistic_100d_2pct_hdd,100,43,1000000,5000,1.0,20,50000,health_ec,15.0,12.5,16.9,19.0,38.8,0.9,4.3,4010370,0.3,10370,0,3067,10370,10095,11,11,0,563,634,634,6200,18.9,18.8,9586,8235,85.9
realistic_2pct,threshold_d6_a005,threshold_alpha,6,0.05,0,0,0,dynamic_realistic_100d_2pct_hdd,100,43,1000000,5000,1.0,20,50000,health_ec,15.0,12.5,16.9,19.0,38.8,0.9,4.3,4011413,0.3,11413,0,3370,11413,11126,8,8,0,572,634,634,6762,18.9,18.8,10463,9139,87.3
realistic_2pct,threshold_d8_a005,threshold_alpha,8,0.05,0,0,0,dynamic_realistic_100d_2pct_hdd,100,43,1000000,5000,1.0,20,50000,health_ec,15.0,12.5,16.9,19.0,38.8,0.9,4.3,4012131,0.3,12131,0,3641,12131,11841,6,6,0,575,634,634,7245,18.9,18.8,11081,9777,88.2
realistic_2pct,threshold_d2_a010,threshold_alpha,2,0.1,0,0,0,dynamic_realistic_100d_2pct_hdd,100,43,1000000,5000,1.0,20,50000,health_ec,15.0,12.5,16.9,19.0,38.8,0.9,4.2,4008476,0.2,8476,0,2548,8476,8229,22,22,0,540,634,634,5247,18.9,18.8,7973,6598,82.8
realistic_2pct,threshold_d4_a010,threshold_alpha,4,0.1,0,0,0,dynamic_realistic_100d_2pct_hdd,100,43,1000000,5000,1.0,20,50000,health_ec,15.0,12.5,16.9,19.0,38.8,0.9,4.2,4010063,0.3,10063,0,3042,10063,9794,12,12,0,562,634,634,6177,18.9,18.8,9295,7967,85.7
realistic_2pct,threshold_d6_a010,threshold_alpha,6,0.1,0,0,0,dynamic_realistic_100d_2pct_hdd,100,43,1000000,5000,1.0,20,50000,health_ec,15.0,12.5,16.9,19.0,38.8,0.9,4.3,4011039,0.3,11039,0,3370,11039,10759,8,8,0,570,634,634,6764,18.9,18.8,10119,8795,86.9
realistic_2pct,threshold_d8_a010,threshold_alpha,8,0.1,0,0,0,dynamic_realistic_100d_2pct_hdd,100,43,1000000,5000,1.0,20,50000,health_ec,15.0,12.5,16.9,19.0,38.8,0.9,4.3,4011969,0.3,11969,0,3634,11969,11682,6,6,0,575,634,634,7235,18.9,18.8,10947,9625,87.9
realistic_2pct,evidence_w2_d4,window_evidence,4,0.1,2,0,0,dynamic_realistic_100d_2pct_hdd,100,43,1000000,5000,1.0,20,50000,health_ec,15.0,12.5,16.9,19.0,38.8,0.9,4.2,4011142,0.3,11142,0,3041,11142,10856,12,12,0,562,634,634,6174,18.9,18.8,10286,8950,87.0
