rank,candidate_id,a_abs,b_abs,theta_s,theta_d,post_warmup_gap_ms,severe_gap_ms,bw_ratio_median,bw_ratio_max,coverage_pct,migration_triggers,migration_fp_max,pre_slowdown_parity_reads,recovery_parity_reads
24,expanded|A=15|B=10|S=0.03|D=16,15,10,0.03,16,-10.3,-12.35,0.474,0.495,97.1,6,0,45,5313.5
25,expanded|A=20|B=15|S=0.03|D=24,20,15,0.03,24,-10.2,-12.3,0.476,0.491,95.45,4,0,0,5819
26,primary|A=15|B=15|S=0.03|D=24,15,15,0.03,24,-10.2,-12.3,0.486,0.5,97.2,4,0,26,5844.5
27,expanded|A=15|B=15|S=0.03|D=24,15,15,0.03,24,-10.2,-12.3,0.486,0.5,97.2,4,0,26,5844.5
28,expanded|A=20|B=20|S=0.03|D=24,20,20,0.03,24,-10.2,-12.3,0.495,0.505,95.2,4,0,0,5586
29,primary|A=15|B=10|S=0.05|D=24,15,10,0.05,24,-10.15,-12.25,0.498,0.505,96.4,4,0,41,6016.5
30,expanded|A=15|B=10|S=0.05|D=24,15,10,0.05,24,-10.15,-12.25,0.498,0.505,96.4,4,0,41,6016.5
31,expanded|A=20|B=10|S=0.03|D=24,20,10,0.03,24,-10.2,-12.3,0.5,0.505,95.6,4,0,0,6021
32,expanded|A=20|B=20|S=0.03|D=32,20,20,0.03,32,-10.15,-12.25,0.505,0.528,95.3,4,0,0,5569.5
33,expanded|A=15|B=20|S=0.03|D=24,15,20,0.03,24,-10.2,-12.3,0.509,0.524,96.95,4,0,26,5654.5
34,expanded|A=15|B=15|S=0.05|D=32,15,15,0.05,32,-10.1,-12.2,0.512,0.524,96.35,4,0,22,5815.5
35,expanded|A=15|B=10|S=0.05|D=32,15,10,0.05,32,-10.1,-12.3,0.512,0.524,96.5,4,0,41,6011.5
36,expanded|A=20|B=15|S=0.03|D=32,20,15,0.03,32,-10.2,-12.25,0.514,0.524,95.8,4,0,0,5849.5
37,expanded|A=20|B=10|S=0.03|D=32,20,10,0.03,32,-10.2,-12.3,0.517,0.528,95.65,4,0,0,6022
38,primary|A=15|B=10|S=0.03|D=24,15,10,0.03,24,-10.3,-12.35,0.517,0.524,97.35,4,0,45,6023.5
39,expanded|A=15|B=10|S=0.03|D=24,15,10,0.03,24,-10.3,-12.35,0.517,0.524,97.35,4,0,45,6023.5
40,expanded|A=15|B=20|S=0.03|D=32,15,20,0.03,32,-10.15,-12.3,0.524,0.538,97,4,0,26,5645.5
41,expanded|A=15|B=15|S=0.03|D=32,15,15,0.03,32,-10.2,-12.3,0.526,0.538,97.45,4,0,26,5914
42,expanded|A=15|B=10|S=0.03|D=32,15,10,0.03,32,-10.3,-12.35,0.531,0.547,97.4,4,0,45,6023
