scenario,policy,seeds,num_runs,timeout_ms,window_id,window_start_read,window_end_read,disk8_state,disk9_state,active_slow_disks,p50_ms_median,p50_ms_min,p50_ms_max,p95_ms_median,p95_ms_min,p95_ms_max,p99_ms_median,p99_ms_min,p99_ms_max,issued_shard_reads_median,issued_shard_reads_min,issued_shard_reads_max,bandwidth_overhead_pct_median,bandwidth_overhead_pct_min,bandwidth_overhead_pct_max,parity_reads_median,parity_reads_min,parity_reads_max,proactive_or_degraded_reads_median,proactive_or_degraded_reads_min,proactive_or_degraded_reads_max,decode_count_median,decode_count_min,decode_count_max,migration_triggers_median,migration_triggers_min,migration_triggers_max,migration_true_positives_median,migration_true_positives_min,migration_true_positives_max,migration_false_positives_median,migration_false_positives_min,migration_false_positives_max
dynamic_degradation,timeout_degraded_read,42..71,30,15,7,35000,40000,severe_slow,healthy,1,17.9,17.5,18.5,28.4,28.2,28.6,31.1,30.6,31.5,22959,22874,23030,14.8,14.4,15.2,2959,2874,3030,2959,2874,3030,2500,2434,2579,0,0,0,0,0,0,0,0,0
dynamic_degradation,timeout_degraded_read,42..71,30,15,8,40000,45000,severe_slow,healthy,1,18,17.3,18.6,28.4,28.1,28.6,31.1,30.7,31.4,22967,22895,23059,14.8,14.5,15.3,2967,2895,3059,2967,2895,3059,2504,2442,2591,0,0,0,0,0,0,0,0,0
dynamic_degradation,timeout_degraded_read,42..71,30,15,9,45000,50000,recovery,mild_slow,1,16.1,15.7,16.5,26.5,26.2,26.7,29.15,28.8,29.8,22800,22701,22861,14,13.5,14.3,2800,2701,2861,2800,2701,2861,1363.5,1300,1429,0,0,0,0,0,0,0,0,0
dynamic_degradation,timeout_degraded_read,42..71,30,15,10,50000,55000,recovery,mild_slow,1,16.2,15.8,16.4,26.5,26.1,26.7,29.3,28.8,29.7,22815.5,22736,22870,14.1,13.7,14.3,2815.5,2736,2870,2815.5,2736,2870,1373,1316,1447,0,0,0,0,0,0,0,0,0
dynamic_degradation,timeout_degraded_read,42..71,30,15,11,55000,60000,healthy,severe_slow,1,18,17.4,18.7,28.4,28.2,28.6,31.1,30.8,31.5,22969,22909,23047,14.8,14.5,15.2,2969,2909,3047,2969,2909,3047,2496.5,2449,2598,0,0,0,0,0,0,0,0,0
dynamic_degradation,timeout_degraded_read,42..71,30,15,12,60000,65000,healthy,severe_slow,1,17.95,17.3,19,28.5,28.2,28.7,31.1,30.8,31.7,22963.5,22887,23046,14.8,14.4,15.2,2963.5,2887,3046,2963.5,2887,3046,2508,2437,2587,0,0,0,0,0,0,0,0,0
dynamic_degradation,timeout_degraded_read,42..71,30,15,13,65000,70000,healthy,severe_slow,1,17.9,17.1,18.8,28.4,28.1,28.7,31.1,30.7,31.6,22960,22863,23042,14.8,14.3,15.2,2960,2863,3042,2960,2863,3042,2496,2423,2592,0,0,0,0,0,0,0,0,0
dynamic_degradation,timeout_degraded_read,42..71,30,15,14,70000,75000,mild_slow,recovery,1,16.1,16,16.6,26.45,26.1,26.8,29.2,28.5,29.6,22806,22759,22905,14,13.8,14.5,2806,2759,2905,2806,2759,2905,1366.5,1316,1450,0,0,0,0,0,0,0,0,0
dynamic_degradation,timeout_degraded_read,42..71,30,15,15,75000,80000,recovery,recovery,0,14.2,14.1,14.3,21.3,21.2,21.6,24.2,24,24.8,22083.5,22019,22140,10.4,10.1,10.7,2083.5,2019,2140,2083.5,2019,2140,239.5,197,271,0,0,0,0,0,0,0,0,0
dynamic_degradation,timeout_degraded_read,42..71,30,15,16,80000,85000,healthy,healthy,0,12.5,12.4,12.6,16.8,16.7,17,18.8,18.5,19,20810.5,20773,20853,4.05,3.9,4.3,810.5,773,853,810.5,773,853,18,12,31,0,0,0,0,0,0,0,0,0
dynamic_degradation,timeout_degraded_read,42..71,30,15,17,85000,90000,healthy,healthy,0,12.5,12.4,12.6,16.8,16.7,17,18.7,18.6,19.1,20819.5,20769,20881,4.1,3.8,4.4,819.5,769,881,819.5,769,881,20,13,27,0,0,0,0,0,0,0,0,0
dynamic_degradation,timeout_degraded_read,42..71,30,15,18,90000,95000,healthy,healthy,0,12.5,12.4,12.6,16.8,16.6,17,18.7,18.4,19,20815,20750,20867,4.1,3.8,4.3,815,750,867,815,750,867,17.5,11,29,0,0,0,0,0,0,0,0,0
dynamic_degradation,timeout_degraded_read,42..71,30,15,19,95000,100000,healthy,healthy,0,12.5,12.4,12.6,16.8,16.6,16.9,18.7,18.4,19.1,20810,20762,20863,4,3.8,4.3,810,762,863,810,762,863,20,11,30,0,0,0,0,0,0,0,0,0
dynamic_degradation,health_ec,42..71,30,15,0,0,5000,healthy,healthy,0,12.5,12.4,12.6,16.8,16.5,17,18.8,18.4,19.1,20000,20000,20010,0,0,0.1,0,0,10,0,0,10,0,0,7,0,0,0,0,0,0,0,0,0
dynamic_degradation,health_ec,42..71,30,15,1,5000,10000,healthy,healthy,0,12.5,12.4,12.6,16.8,16.6,16.9,18.8,18.4,19.3,20000,20000,20014,0,0,0.1,0,0,14,0,0,14,0,0,11,0,0,0,0,0,0,0,0,0
dynamic_degradation,health_ec,42..71,30,15,2,10000,15000,healthy,healthy,0,12.5,12.3,12.6,16.8,16.7,17,18.8,18.6,19,20000,20000,20004,0,0,0,0,0,4,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0
dynamic_degradation,health_ec,42..71,30,15,3,15000,20000,mild_slow,healthy,1,13.2,13.1,13.3,29.6,28.9,30.3,37.8,36.8,39,20115.5,20076,20170,0.6,0.4,0.9,115.5,76,170,115.5,76,170,113.5,75,168,7.5,6,9,7.5,6,9,0,0,1
dynamic_degradation,health_ec,42..71,30,15,4,20000,25000,mild_slow,healthy,1,13.1,13,13.2,29.1,27.8,30.3,37.5,36.5,39.2,20051,20015,20083,0.25,0.1,0.4,51,15,83,51,15,83,48,15,81,1,0,3,1,0,3,0,0,0
