case_id,sensitivity_axis,sensitivity_value,scenario,zipf_s,slowdown_scale,policy,seeds,num_runs,timeout_ms,p50_ms_median,p50_ms_min,p50_ms_max,p95_ms_median,p95_ms_min,p95_ms_max,p99_ms_median,p99_ms_min,p99_ms_max,p99_improvement_pct_median,p99_improvement_pct_min,p99_improvement_pct_max,post_onset_p95_auc_ms_median,post_onset_p95_auc_ms_min,post_onset_p95_auc_ms_max,post_onset_p99_auc_ms_median,post_onset_p99_auc_ms_min,post_onset_p99_auc_ms_max,bandwidth_overhead_pct_median,bandwidth_overhead_pct_min,bandwidth_overhead_pct_max,parity_reads_median,parity_reads_min,parity_reads_max,pre_slowdown_parity_reads_median,pre_slowdown_parity_reads_min,pre_slowdown_parity_reads_max,recovery_parity_reads_median,recovery_parity_reads_min,recovery_parity_reads_max,proactive_or_degraded_reads_median,proactive_or_degraded_reads_min,proactive_or_degraded_reads_max,decode_count_median,decode_count_min,decode_count_max,migration_triggers_median,migration_triggers_min,migration_triggers_max,migration_true_positives_median,migration_true_positives_min,migration_true_positives_max,migration_false_positives_median,migration_false_positives_min,migration_false_positives_max,migration_false_negatives_median,migration_false_negatives_min,migration_false_negatives_max,first_detection_latency_reads_median,first_detection_latency_reads_min,first_detection_latency_reads_max,first_mitigation_latency_reads_median,first_mitigation_latency_reads_min,first_mitigation_latency_reads_max,recovery_regret_reads_median,recovery_regret_reads_min,recovery_regret_reads_max,post_warmup_windowed_p99_ms_median,post_warmup_windowed_p99_ms_min,post_warmup_windowed_p99_ms_max,severe_window_p99_ms_median,severe_window_p99_ms_min,severe_window_p99_ms_max,read_bypass_eligible_events_median,read_bypass_eligible_events_min,read_bypass_eligible_events_max,read_bypass_triggered_events_median,read_bypass_triggered_events_min,read_bypass_triggered_events_max,read_bypass_coverage_pct_median,read_bypass_coverage_pct_min,read_bypass_coverage_pct_max,migration_true_positives_total,migration_false_positives_total,migration_false_negatives_total,migration_precision_pct,migration_recall_pct
zipf_1_2,zipf,1.2,dynamic_sensitivity_100d_4pct_hdd,1.2,1,vanilla_ec,42..71,30,15,12.5,12.5,12.5,17.2,17.2,17.2,27.1,26.5,27.5,0,0,0,8.85,7.9,9.8,350.8,347,354.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,29,28.5,29.4,67,66.3,67.8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
zipf_1_2,zipf,1.2,dynamic_sensitivity_100d_4pct_hdd,1.2,1,late_binding,42..71,30,15,10.7,10.7,10.7,14.3,14.3,14.3,19,18.7,19.2,30.05,29.6,30.6,6.6,6.1,7,218.5,214.3,221.5,25,25,25,1000000,1000000,1000000,150000,150000,150000,4554,4448,4710,1000000,1000000,1000000,798770.5,798073,799460,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,27.5,0,169,13412.5,13156,13727,20.75,20.3,21.4,46.75,45.5,47.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
zipf_1_2,zipf,1.2,dynamic_sensitivity_100d_4pct_hdd,1.2,1,timeout_degraded_read,42..71,30,15,12.5,12.5,12.5,17.2,17.2,17.2,23.3,23,23.5,14.1,13.1,15,8.6,7.8,9.7,202.6,198,205.4,4.3,4.3,4.4,173817.5,173068,174552,24317.5,23937,24500,3793,3695,3905,173817.5,173068,174552,14737,14501,14912,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,27.5,0,169,34,0,170,6904.5,6770,7086,24.5,24.2,24.8,46.75,45.5,47.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
zipf_1_2,zipf,1.2,dynamic_sensitivity_100d_4pct_hdd,1.2,1,health_ec,42..71,30,15,12.5,12.5,12.5,17,17,17,20,19.9,20,26.35,24.9,27.4,4.4,3.5,5.2,101.1,84.5,112.9,0.2,0.2,0.2,7538.5,7164,7766,0,0,0,1976.5,1887,2089,7538.5,7164,7766,6955,6615,7184,6,6,6,6,6,6,0,0,0,563,512,596,1650.5,323,5839,1650.5,323,5839,3348,3141,3488,21.1,20.8,21.5,33.85,30.9,35.7,7854.5,7621,8003,5760.5,5492,5983,73.55,72.1,75.8,180,0,16919,100,1.053
slowdown_0_5,slowdown_scale,0.5,dynamic_sensitivity_100d_4pct_hdd,1,0.5,vanilla_ec,42..71,30,15,12.6,12.5,12.6,17.3,17.3,17.3,24,23.6,24.3,0,0,0,10.8,10.1,11.4,157.5,154.3,159.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,21.9,21.8,22.1,41.9,41.4,42.4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
slowdown_0_5,slowdown_scale,0.5,dynamic_sensitivity_100d_4pct_hdd,1,0.5,late_binding,42..71,30,15,10.8,10.7,10.8,14.3,14.3,14.3,17.5,17.4,17.6,27,26.3,27.8,7.3,6.9,7.7,94.95,93.2,96.6,25,25,25,1000000,1000000,1000000,150000,150000,150000,6382.5,6214,6633,1000000,1000000,1000000,798282,797327,799018,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,28.5,1,223,18876.5,18429,19107,17,16.8,17,29.8,29.6,30.1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
slowdown_0_5,slowdown_scale,0.5,dynamic_sensitivity_100d_4pct_hdd,1,0.5,timeout_degraded_read,42..71,30,15,12.6,12.5,12.6,17.25,17.2,17.3,22.1,22,22.2,7.8,7.1,8.7,10.4,9.7,11.1,83.85,81.7,85.7,4.4,4.4,4.4,176480,175786,177110,24287.5,24012,24873,3972.5,3871,4078,176480,175786,177110,14004,13810,14372,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,25,1,223,108.5,4,356,8117,7911,8230,21.2,21.1,21.4,30.25,30,30.4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
slowdown_0_5,slowdown_scale,0.5,dynamic_sensitivity_100d_4pct_hdd,1,0.5,health_ec,42..71,30,15,12.5,12.5,12.5,17.1,17.1,17.1,20.2,20.1,20.3,15.8,14.4,16.8,6,5.4,6.5,68.6,66,71.1,0.3,0.3,0.3,11474.5,10832,11963,0,0,0,2986,2768,3174,11474.5,10832,11963,10686,10039,11147,6,6,6,6,5,6,0,0,0,1174,1137,1210,5528,132,14872,5541,266,14872,4909.5,4710,5114,20.3,20.1,20.6,28.6,28,29.2,13911.5,13648,14145,8890.5,8321,9309,64.05,61,66.8,179,0,35209,100,0.506
slowdown_1_5,slowdown_scale,1.5,dynamic_sensitivity_100d_4pct_hdd,1,1.5,vanilla_ec,42..71,30,15,12.6,12.6,12.6,17.5,17.5,17.5,47.1,46.2,48.3,0,0,0,15.45,14.5,16.1,648.85,640.6,653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,41.1,40.7,41.5,103.8,102.8,105.2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
slowdown_1_5,slowdown_scale,1.5,dynamic_sensitivity_100d_4pct_hdd,1,1.5,late_binding,42..71,30,15,10.8,10.8,10.8,14.5,14.5,14.5,32.65,32,33.2,30.8,30,31.7,11.7,11.2,12.3,437.35,432.4,441.4,25,25,25,1000000,1000000,1000000,150000,150000,150000,6382.5,6214,6633,1000000,1000000,1000000,797060,796045,797768,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,22.5,1,223,18876.5,18429,19107,29.7,29.1,29.9,73.8,72.9,74.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
slowdown_1_5,slowdown_scale,1.5,dynamic_sensitivity_100d_4pct_hdd,1,1.5,timeout_degraded_read,42..71,30,15,12.6,12.6,12.6,17.4,17.4,17.4,33,32.5,33.6,29.9,29.2,30.8,15,14,15.7,402.75,397.4,406.6,4.5,4.5,4.5,179177.5,178520,179816,24287.5,24012,24873,5805.5,5619,6059,179177.5,178520,179816,21023.5,20681,21464,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,22.5,1,223,22.5,1,223,9957,9768,10192,30.3,29.8,30.7,73.8,72.9,74.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
slowdown_1_5,slowdown_scale,1.5,dynamic_sensitivity_100d_4pct_hdd,1,1.5,health_ec,42..71,30,15,12.5,12.5,12.5,17.2,17.2,17.2,26,25.2,26.6,44.85,43.7,46,8.85,8.3,9.5,352.7,344.8,359.1,0.4,0.4,0.4,15531.5,15117,15843,0,0,0,4184.5,3917,4343,15531.5,15117,15843,14150,13801,14393,6,6,6,6,6,6,0,0,0,1168,1130,1204,531,81,1802,531,81,1802,7367.5,7119,7531,29.1,28.6,29.5,67.2,65.8,68.2,12698.5,12398,12903,11188.5,10905,11457,88.4,87.5,89,180,0,35030,100,0.511
