scenario,policy,seeds,num_runs,timeout_ms,window_id,window_start_read,window_end_read,slow_disk_a_id,slow_disk_a_state,slow_disk_b_id,slow_disk_b_state,active_slow_disks,p50_ms_median,p50_ms_min,p50_ms_max,p95_ms_median,p95_ms_min,p95_ms_max,p99_ms_median,p99_ms_min,p99_ms_max,issued_shard_reads_median,issued_shard_reads_min,issued_shard_reads_max,bandwidth_overhead_pct_median,bandwidth_overhead_pct_min,bandwidth_overhead_pct_max,parity_reads_median,parity_reads_min,parity_reads_max,proactive_or_degraded_reads_median,proactive_or_degraded_reads_min,proactive_or_degraded_reads_max,decode_count_median,decode_count_min,decode_count_max,migration_triggers_median,migration_triggers_min,migration_triggers_max,migration_true_positives_median,migration_true_positives_min,migration_true_positives_max,migration_false_positives_median,migration_false_positives_min,migration_false_positives_max
dynamic_stress_100d_20pct_hdd,late_binding,42..71,30,15,9,450000,500000,80,recovery,90,mild_slow,10,11.1,11.1,11.2,24.9,24.6,25.5,32.5,32.2,32.9,250000,250000,250000,25,25,25,50000,50000,50000,50000,50000,50000,39582,39344,39695,0,0,0,0,0,0,0,0,0
dynamic_stress_100d_20pct_hdd,late_binding,42..71,30,15,10,500000,550000,80,recovery,90,mild_slow,10,11.1,11.1,11.2,25,24.6,25.3,32.5,32.3,32.8,250000,250000,250000,25,25,25,50000,50000,50000,50000,50000,50000,39561,39402,39689,0,0,0,0,0,0,0,0,0
dynamic_stress_100d_20pct_hdd,late_binding,42..71,30,15,11,550000,600000,80,healthy,90,severe_slow,10,10.9,10.9,11,57.55,56.9,58.3,75.6,74.9,76.4,250000,250000,250000,25,25,25,50000,50000,50000,50000,50000,50000,39674.5,39467,39840,0,0,0,0,0,0,0,0,0
dynamic_stress_100d_20pct_hdd,late_binding,42..71,30,15,12,600000,650000,80,healthy,90,severe_slow,10,10.9,10.9,11,57.55,56.6,58.1,75.55,74.7,76,250000,250000,250000,25,25,25,50000,50000,50000,50000,50000,50000,39680.5,39443,39847,0,0,0,0,0,0,0,0,0
dynamic_stress_100d_20pct_hdd,late_binding,42..71,30,15,13,650000,700000,80,healthy,90,severe_slow,10,10.9,10.9,11,57.65,56.8,58.4,75.6,74.8,76.1,250000,250000,250000,25,25,25,50000,50000,50000,50000,50000,50000,39721,39564,39934,0,0,0,0,0,0,0,0,0
dynamic_stress_100d_20pct_hdd,late_binding,42..71,30,15,14,700000,750000,80,mild_slow,90,recovery,10,11.1,11.1,11.2,25.2,24.8,25.5,32.6,32.2,32.9,250000,250000,250000,25,25,25,50000,50000,50000,50000,50000,50000,39896.5,39760,40125,0,0,0,0,0,0,0,0,0
dynamic_stress_100d_20pct_hdd,late_binding,42..71,30,15,15,750000,800000,80,recovery,90,recovery,0,11.1,11.1,11.1,16.9,16.8,17.1,20.1,20,20.3,250000,250000,250000,25,25,25,50000,50000,50000,50000,50000,50000,39934,39849,40139,0,0,0,0,0,0,0,0,0
dynamic_stress_100d_20pct_hdd,late_binding,42..71,30,15,16,800000,850000,80,healthy,90,healthy,0,10.7,10.7,10.7,14,14,14.1,15.4,15.4,15.5,250000,250000,250000,25,25,25,50000,50000,50000,50000,50000,50000,39987,39818,40157,0,0,0,0,0,0,0,0,0
dynamic_stress_100d_20pct_hdd,late_binding,42..71,30,15,17,850000,900000,80,healthy,90,healthy,0,10.7,10.7,10.7,14,14,14,15.4,15.4,15.5,250000,250000,250000,25,25,25,50000,50000,50000,50000,50000,50000,40012,39775,40158,0,0,0,0,0,0,0,0,0
dynamic_stress_100d_20pct_hdd,late_binding,42..71,30,15,18,900000,950000,80,healthy,90,healthy,0,10.7,10.7,10.7,14,14,14,15.5,15.4,15.5,250000,250000,250000,25,25,25,50000,50000,50000,50000,50000,50000,39971.5,39817,40222,0,0,0,0,0,0,0,0,0
