scenario,seed,num_reads,num_stripes,zipf_s,num_windows,window_size,policy,timeout_ms,p50_ms,p95_ms,p99_ms,p99_improvement_pct,post_onset_p95_auc_ms,post_onset_p99_auc_ms,issued_shard_reads,bandwidth_overhead_pct,parity_reads,pre_slowdown_parity_reads,recovery_parity_reads,proactive_or_degraded_reads,decode_count,migration_triggers,migration_true_positives,migration_false_positives,migration_false_negatives,first_detection_latency_reads,first_mitigation_latency_reads,recovery_regret_reads
dynamic_degradation,58,100000,500,1.0,20,5000,health_ec,15.0,12.8,32.2,70.7,22.2,356.0,521.1,400929,0.2,929,0,5,929,908,32,32,0,662,16,16,69
dynamic_degradation,59,100000,500,1.0,20,5000,vanilla_ec,15.0,14.0,65.5,92.2,0.0,507.1,3404.3,400000,0.0,0,0,0,0,0,0,0,0,-1,-1,-1,0
dynamic_degradation,59,100000,500,1.0,20,5000,late_binding,15.0,11.4,16.2,19.2,79.1,37.6,51.7,500000,25.0,100000,15000,10389,100000,81381,0,0,0,-1,-1,0,28669
dynamic_degradation,59,100000,500,1.0,20,5000,timeout_degraded_read,15.0,14.0,26.5,29.7,67.8,132.4,142.0,442128,10.5,42128,2435,8921,42128,23475,0,0,0,-1,0,1,18352
dynamic_degradation,59,100000,500,1.0,20,5000,health_ec,15.0,12.8,32.0,72.6,21.2,359.6,541.6,400981,0.2,981,14,8,981,959,34,34,0,637,14,16,25
dynamic_degradation,60,100000,500,1.0,20,5000,vanilla_ec,15.0,14.0,65.1,92.4,0.0,507.5,3384.5,400000,0.0,0,0,0,0,0,0,0,0,-1,-1,-1,0
dynamic_degradation,60,100000,500,1.0,20,5000,late_binding,15.0,11.4,16.1,19.3,79.1,37.7,51.6,500000,25.0,100000,15000,10482,100000,81445,0,0,0,-1,-1,0,28765
dynamic_degradation,60,100000,500,1.0,20,5000,timeout_degraded_read,15.0,14.0,26.5,29.6,67.9,134.1,143.1,442137,10.5,42137,2399,9017,42137,23728,0,0,0,-1,0,0,18460
dynamic_degradation,60,100000,500,1.0,20,5000,health_ec,15.0,12.8,32.0,71.3,22.8,358.2,529.6,400824,0.2,824,0,2,824,809,33,33,0,650,2,2,61
dynamic_degradation,61,100000,500,1.0,20,5000,vanilla_ec,15.0,14.0,65.4,91.7,0.0,505.4,3332.5,400000,0.0,0,0,0,0,0,0,0,0,-1,-1,-1,0
dynamic_degradation,61,100000,500,1.0,20,5000,late_binding,15.0,11.4,16.1,19.3,79.0,37.4,50.8,500000,25.0,100000,15000,10520,100000,81733,0,0,0,-1,-1,0,28851
dynamic_degradation,61,100000,500,1.0,20,5000,timeout_degraded_read,15.0,14.0,26.5,29.6,67.7,132.0,141.3,442057,10.5,42057,2442,8986,42057,23401,0,0,0,-1,0,0,18384
dynamic_degradation,61,100000,500,1.0,20,5000,health_ec,15.0,12.8,32.2,71.1,22.5,354.6,519.9,400862,0.2,862,0,3,862,846,32,32,0,652,8,8,79
dynamic_degradation,62,100000,500,1.0,20,5000,vanilla_ec,15.0,14.0,65.4,90.8,0.0,503.2,3319.2,400000,0.0,0,0,0,0,0,0,0,0,-1,-1,-1,0
dynamic_degradation,62,100000,500,1.0,20,5000,late_binding,15.0,11.4,16.2,19.3,78.8,38.0,52.1,500000,25.0,100000,15000,10482,100000,81747,0,0,0,-1,-1,1,28667
dynamic_degradation,62,100000,500,1.0,20,5000,timeout_degraded_read,15.0,14.0,26.5,29.6,67.4,132.7,142.8,442144,10.5,42144,2360,8997,42144,23550,0,0,0,-1,1,6,18378
dynamic_degradation,62,100000,500,1.0,20,5000,health_ec,15.0,12.8,31.9,70.6,22.2,355.6,528.9,400795,0.2,795,0,2,795,788,32,32,0,651,12,12,65
dynamic_degradation,63,100000,500,1.0,20,5000,vanilla_ec,15.0,14.0,64.9,91.9,0.0,503.9,3333.0,400000,0.0,0,0,0,0,0,0,0,0,-1,-1,-1,0
dynamic_degradation,63,100000,500,1.0,20,5000,late_binding,15.0,11.4,16.2,19.2,79.1,37.3,49.7,500000,25.0,100000,15000,10379,100000,81505,0,0,0,-1,-1,8,28558
