scenario,num_disks,seed,num_reads,num_stripes,zipf_s,num_windows,window_size,policy,timeout_ms,p50_ms,p95_ms,p99_ms,p99_improvement_pct,post_onset_p95_auc_ms,post_onset_p99_auc_ms,issued_shard_reads,bandwidth_overhead_pct,parity_reads,pre_slowdown_parity_reads,recovery_parity_reads,proactive_or_degraded_reads,decode_count,migration_triggers,migration_true_positives,migration_false_positives,migration_false_negatives,first_detection_latency_reads,first_mitigation_latency_reads,recovery_regret_reads,post_warmup_windowed_p99_ms,severe_window_p99_ms,read_bypass_eligible_events,read_bypass_triggered_events,read_bypass_coverage_pct
dynamic_stress_100d_20pct_hdd,100,61,1000000,5000,1.0,20,50000,health_ec,15.0,12.7,19.5,62.6,20.1,273.8,446.5,4043881,1.1,43881,0,10582,43881,35672,23,23,0,5802,217,217,14729,35.8,75.6,36937,26764,72.5
dynamic_stress_100d_20pct_hdd,100,62,1000000,5000,1.0,20,50000,vanilla_ec,15.0,12.7,23.6,78.9,0.0,395.6,615.7,4000000,0.0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,40.1,98.9,-1,-1,-1.0
dynamic_stress_100d_20pct_hdd,100,62,1000000,5000,1.0,20,50000,late_binding,15.0,10.9,19.2,64.2,18.7,332.3,469.3,5000000,25.0,1000000,150000,20288,1000000,796383,0,-1,-1,-1,-1,0,64841,32.6,75.7,-1,-1,-1.0
dynamic_stress_100d_20pct_hdd,100,62,1000000,5000,1.0,20,50000,timeout_degraded_read,15.0,12.7,22.6,67.0,15.1,331.2,471.1,4216531,5.4,216531,24069,16722,216531,33216,0,-1,-1,-1,0,0,25454,36.2,79.1,-1,-1,-1.0
dynamic_stress_100d_20pct_hdd,100,62,1000000,5000,1.0,20,50000,health_ec,15.0,12.7,19.6,63.0,20.2,278.0,451.1,4044433,1.1,44433,0,10612,44433,35991,21,21,0,5913,573,573,14613,36.3,75.9,37484,27148,72.4
dynamic_stress_100d_20pct_hdd,100,63,1000000,5000,1.0,20,50000,vanilla_ec,15.0,12.7,23.5,78.8,0.0,395.3,609.3,4000000,0.0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,40.1,98.3,-1,-1,-1.0
dynamic_stress_100d_20pct_hdd,100,63,1000000,5000,1.0,20,50000,late_binding,15.0,10.9,19.2,64.1,18.6,332.3,468.1,5000000,25.0,1000000,150000,20551,1000000,796545,0,-1,-1,-1,-1,10,65219,32.5,75.4,-1,-1,-1.0
dynamic_stress_100d_20pct_hdd,100,63,1000000,5000,1.0,20,50000,timeout_degraded_read,15.0,12.7,22.5,67.0,15.0,329.9,469.0,4216652,5.4,216652,24322,17025,216652,33221,0,-1,-1,-1,10,24,25734,36.1,78.9,-1,-1,-1.0
dynamic_stress_100d_20pct_hdd,100,63,1000000,5000,1.0,20,50000,health_ec,15.0,12.7,19.5,62.9,20.2,275.4,448.5,4044562,1.1,44562,0,10737,44562,36081,21,21,0,5924,690,690,14674,36.0,75.7,37448,27227,72.7
dynamic_stress_100d_20pct_hdd,100,64,1000000,5000,1.0,20,50000,vanilla_ec,15.0,12.7,23.5,78.5,0.0,394.6,611.8,4000000,0.0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,39.8,99.5,-1,-1,-1.0
dynamic_stress_100d_20pct_hdd,100,64,1000000,5000,1.0,20,50000,late_binding,15.0,10.9,19.3,64.2,18.3,332.3,467.3,5000000,25.0,1000000,150000,20519,1000000,796144,0,-1,-1,-1,-1,7,64931,32.5,75.6,-1,-1,-1.0
dynamic_stress_100d_20pct_hdd,100,64,1000000,5000,1.0,20,50000,timeout_degraded_read,15.0,12.7,22.7,67.0,14.7,330.3,470.5,4217107,5.4,217107,24460,17011,217107,33075,0,-1,-1,-1,7,7,25713,36.1,79.1,-1,-1,-1.0
dynamic_stress_100d_20pct_hdd,100,64,1000000,5000,1.0,20,50000,health_ec,15.0,12.7,19.5,62.8,20.1,274.9,449.5,4042903,1.1,42903,0,10756,42903,35046,20,20,0,5773,1506,1506,14761,36.0,75.5,37015,26193,70.8
dynamic_stress_100d_20pct_hdd,100,65,1000000,5000,1.0,20,50000,vanilla_ec,15.0,12.7,23.5,78.5,0.0,394.3,610.9,4000000,0.0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,39.4,98.7,-1,-1,-1.0
dynamic_stress_100d_20pct_hdd,100,65,1000000,5000,1.0,20,50000,late_binding,15.0,10.9,19.2,64.0,18.5,332.6,470.3,5000000,25.0,1000000,150000,20464,1000000,795824,0,-1,-1,-1,-1,2,64611,32.7,75.9,-1,-1,-1.0
dynamic_stress_100d_20pct_hdd,100,65,1000000,5000,1.0,20,50000,timeout_degraded_read,15.0,12.7,22.7,67.0,14.7,331.3,470.1,4217122,5.4,217122,24141,16984,217122,32968,0,-1,-1,-1,2,2,25635,36.0,78.7,-1,-1,-1.0
dynamic_stress_100d_20pct_hdd,100,65,1000000,5000,1.0,20,50000,health_ec,15.0,12.7,19.5,62.8,19.9,276.2,449.4,4043691,1.1,43691,0,10866,43691,35579,20,20,0,5821,1441,1441,14951,36.1,75.7,36959,26610,72.0
dynamic_stress_100d_20pct_hdd,100,66,1000000,5000,1.0,20,50000,vanilla_ec,15.0,12.7,23.8,79.1,0.0,397.4,619.6,4000000,0.0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,40.0,99.3,-1,-1,-1.0
dynamic_stress_100d_20pct_hdd,100,66,1000000,5000,1.0,20,50000,late_binding,15.0,10.9,19.4,64.3,18.7,333.8,469.4,5000000,25.0,1000000,150000,20753,1000000,796383,0,-1,-1,-1,-1,13,65078,32.7,75.8,-1,-1,-1.0
dynamic_stress_100d_20pct_hdd,100,66,1000000,5000,1.0,20,50000,timeout_degraded_read,15.0,12.7,22.9,67.2,15.1,332.0,473.7,4217617,5.4,217617,24535,17206,217617,33146,0,-1,-1,-1,13,13,25708,36.4,79.3,-1,-1,-1.0
dynamic_stress_100d_20pct_hdd,100,66,1000000,5000,1.0,20,50000,health_ec,15.0,12.7,19.5,63.1,20.3,277.4,448.7,4044079,1.1,44079,0,10959,44079,35943,21,21,0,5961,422,422,14902,36.1,75.6,37250,26941,72.3
dynamic_stress_100d_20pct_hdd,100,67,1000000,5000,1.0,20,50000,vanilla_ec,15.0,12.7,23.4,78.4,0.0,393.4,608.6,4000000,0.0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,40.0,98.0,-1,-1,-1.0
dynamic_stress_100d_20pct_hdd,100,67,1000000,5000,1.0,20,50000,late_binding,15.0,10.9,19.1,63.8,18.6,330.0,468.0,5000000,25.0,1000000,150000,21035,1000000,796134,0,-1,-1,-1,-1,23,65123,32.7,75.6,-1,-1,-1.0
dynamic_stress_100d_20pct_hdd,100,67,1000000,5000,1.0,20,50000,timeout_degraded_read,15.0,12.7,22.6,66.7,15.0,329.1,470.2,4216972,5.4,216972,24256,17489,216972,33027,0,-1,-1,-1,23,23,26273,36.1,78.7,-1,-1,-1.0
dynamic_stress_100d_20pct_hdd,100,67,1000000,5000,1.0,20,50000,health_ec,15.0,12.7,19.5,62.6,20.2,274.4,449.1,4044112,1.1,44112,0,10990,44112,35846,20,20,0,5746,191,191,14721,36.2,75.8,37167,26963,72.5
dynamic_stress_100d_20pct_hdd,100,68,1000000,5000,1.0,20,50000,vanilla_ec,15.0,12.7,23.5,78.6,0.0,394.2,612.2,4000000,0.0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,39.8,98.5,-1,-1,-1.0
dynamic_stress_100d_20pct_hdd,100,68,1000000,5000,1.0,20,50000,late_binding,15.0,10.9,19.2,64.0,18.5,332.3,469.1,5000000,25.0,1000000,150000,20714,1000000,796824,0,-1,-1,-1,-1,2,64669,32.6,75.7,-1,-1,-1.0
dynamic_stress_100d_20pct_hdd,100,68,1000000,5000,1.0,20,50000,timeout_degraded_read,15.0,12.7,22.7,67.0,14.8,331.2,471.6,4216774,5.4,216774,24112,17178,216774,33102,0,-1,-1,-1,0,16,25611,36.3,79.0,-1,-1,-1.0
dynamic_stress_100d_20pct_hdd,100,68,1000000,5000,1.0,20,50000,health_ec,15.0,12.7,19.4,62.6,20.3,273.0,450.0,4043829,1.1,43829,0,10747,43829,35971,21,21,0,5687,491,491,14661,36.0,75.6,36945,26947,72.9
dynamic_stress_100d_20pct_hdd,100,69,1000000,5000,1.0,20,50000,vanilla_ec,15.0,12.7,23.4,78.4,0.0,393.6,610.9,4000000,0.0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,40.2,98.4,-1,-1,-1.0
dynamic_stress_100d_20pct_hdd,100,69,1000000,5000,1.0,20,50000,late_binding,15.0,10.9,19.1,63.9,18.5,330.4,468.2,5000000,25.0,1000000,150000,20556,1000000,796194,0,-1,-1,-1,-1,59,64915,32.7,75.5,-1,-1,-1.0
dynamic_stress_100d_20pct_hdd,100,69,1000000,5000,1.0,20,50000,timeout_degraded_read,15.0,12.7,22.6,66.7,14.9,329.3,469.4,4215992,5.4,215992,24128,16969,215992,33101,0,-1,-1,-1,30,152,25689,36.0,78.8,-1,-1,-1.0
dynamic_stress_100d_20pct_hdd,100,69,1000000,5000,1.0,20,50000,health_ec,15.0,12.7,19.5,62.7,20.0,274.2,447.8,4043588,1.1,43588,0,10545,43588,35327,21,21,0,5761,587,587,14440,36.3,75.3,37107,26664,71.9
dynamic_stress_100d_20pct_hdd,100,70,1000000,5000,1.0,20,50000,vanilla_ec,15.0,12.7,23.4,78.4,0.0,393.6,607.6,4000000,0.0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,39.6,98.7,-1,-1,-1.0
dynamic_stress_100d_20pct_hdd,100,70,1000000,5000,1.0,20,50000,late_binding,15.0,10.9,19.2,64.0,18.5,331.3,467.6,5000000,25.0,1000000,150000,20560,1000000,795154,0,-1,-1,-1,-1,29,65111,32.5,75.5,-1,-1,-1.0
dynamic_stress_100d_20pct_hdd,100,70,1000000,5000,1.0,20,50000,timeout_degraded_read,15.0,12.7,22.6,66.8,14.9,329.7,469.7,4216237,5.4,216237,24095,17048,216237,33025,0,-1,-1,-1,29,29,25685,36.1,79.0,-1,-1,-1.0
dynamic_stress_100d_20pct_hdd,100,70,1000000,5000,1.0,20,50000,health_ec,15.0,12.7,19.4,62.5,20.3,272.0,448.1,4043657,1.1,43657,0,10797,43657,35600,20,20,0,5887,398,398,14841,36.0,75.9,36953,26603,72.0
dynamic_stress_100d_20pct_hdd,100,71,1000000,5000,1.0,20,50000,vanilla_ec,15.0,12.7,23.2,78.4,0.0,393.1,607.6,4000000,0.0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,39.9,97.7,-1,-1,-1.0
dynamic_stress_100d_20pct_hdd,100,71,1000000,5000,1.0,20,50000,late_binding,15.0,10.9,19.0,63.9,18.5,331.0,468.7,5000000,25.0,1000000,150000,20790,1000000,796556,0,-1,-1,-1,-1,24,64853,32.6,75.8,-1,-1,-1.0
dynamic_stress_100d_20pct_hdd,100,71,1000000,5000,1.0,20,50000,timeout_degraded_read,15.0,12.7,22.5,66.7,14.8,328.7,469.6,4216906,5.4,216906,24431,17258,216906,32961,0,-1,-1,-1,24,24,25797,36.1,78.8,-1,-1,-1.0
dynamic_stress_100d_20pct_hdd,100,71,1000000,5000,1.0,20,50000,health_ec,15.0,12.7,19.4,62.5,20.2,271.5,449.4,4043956,1.1,43956,0,10823,43956,35394,21,21,0,5665,290,290,14634,36.3,75.7,36861,26573,72.1
