scenario,seed,num_reads,num_stripes,zipf_s,num_windows,window_size,policy,timeout_ms,p50_ms,p95_ms,p99_ms,p99_improvement_pct,post_onset_p95_auc_ms,post_onset_p99_auc_ms,issued_shard_reads,bandwidth_overhead_pct,parity_reads,pre_slowdown_parity_reads,recovery_parity_reads,proactive_or_degraded_reads,decode_count,migration_triggers,migration_true_positives,migration_false_positives,migration_false_negatives,first_detection_latency_reads,first_mitigation_latency_reads,recovery_regret_reads,post_warmup_windowed_p99_ms,severe_window_p99_ms,read_bypass_eligible_events,read_bypass_triggered_events,read_bypass_coverage_pct
dynamic_degradation,60,100000,500,1.0,20,5000,late_binding,15.0,11.4,16.1,19.3,79.1,37.7,51.6,500000,25.0,100000,15000,10482,100000,81445,0,-1,-1,-1,-1,0,28765,18.1,18.1,-1,-1,-1.0
dynamic_degradation,60,100000,500,1.0,20,5000,timeout_degraded_read,15.0,14.0,26.5,29.6,67.9,134.1,143.1,442137,10.5,42137,2399,9017,42137,23728,0,-1,-1,-1,0,0,18460,29.1,31.0,-1,-1,-1.0
dynamic_degradation,60,100000,500,1.0,20,5000,health_ec,15.0,12.6,17.4,23.5,74.5,25.9,91.3,416602,4.2,16602,0,5203,16602,16216,6,6,0,702,62,62,10133,19.1,18.9,15053,13512,89.8
dynamic_degradation,61,100000,500,1.0,20,5000,vanilla_ec,15.0,14.0,65.4,91.7,0.0,505.4,3332.5,400000,0.0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,43.9,548.2,-1,-1,-1.0
dynamic_degradation,61,100000,500,1.0,20,5000,late_binding,15.0,11.4,16.1,19.3,79.0,37.4,50.8,500000,25.0,100000,15000,10520,100000,81733,0,-1,-1,-1,-1,0,28851,18.1,18.2,-1,-1,-1.0
dynamic_degradation,61,100000,500,1.0,20,5000,timeout_degraded_read,15.0,14.0,26.5,29.6,67.7,132.0,141.3,442057,10.5,42057,2442,8986,42057,23401,0,-1,-1,-1,0,0,18384,29.1,31.0,-1,-1,-1.0
dynamic_degradation,61,100000,500,1.0,20,5000,health_ec,15.0,12.6,17.5,23.0,74.9,22.5,92.0,417251,4.3,17251,0,5227,17251,16868,7,7,0,703,16,25,10095,19.1,18.9,15506,14108,91.0
dynamic_degradation,62,100000,500,1.0,20,5000,vanilla_ec,15.0,14.0,65.4,90.8,0.0,503.2,3319.2,400000,0.0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,43.2,545.8,-1,-1,-1.0
dynamic_degradation,62,100000,500,1.0,20,5000,late_binding,15.0,11.4,16.2,19.3,78.8,38.0,52.1,500000,25.0,100000,15000,10482,100000,81747,0,-1,-1,-1,-1,1,28667,18.2,18.2,-1,-1,-1.0
dynamic_degradation,62,100000,500,1.0,20,5000,timeout_degraded_read,15.0,14.0,26.5,29.6,67.4,132.7,142.8,442144,10.5,42144,2360,8997,42144,23550,0,-1,-1,-1,1,6,18378,29.2,31.0,-1,-1,-1.0
dynamic_degradation,62,100000,500,1.0,20,5000,health_ec,15.0,12.6,17.4,22.8,74.9,22.2,90.2,417068,4.3,17068,0,5291,17068,16657,6,6,0,702,61,61,10162,19.3,18.9,15352,13956,90.9
dynamic_degradation,63,100000,500,1.0,20,5000,vanilla_ec,15.0,14.0,64.9,91.9,0.0,503.9,3333.0,400000,0.0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,43.8,548.6,-1,-1,-1.0
dynamic_degradation,63,100000,500,1.0,20,5000,late_binding,15.0,11.4,16.2,19.2,79.1,37.3,49.7,500000,25.0,100000,15000,10379,100000,81505,0,-1,-1,-1,-1,8,28558,18.2,18.2,-1,-1,-1.0
dynamic_degradation,63,100000,500,1.0,20,5000,timeout_degraded_read,15.0,14.0,26.5,29.6,67.8,133.0,143.4,442101,10.5,42101,2452,8933,42101,23187,0,-1,-1,-1,10,10,18345,29.2,31.1,-1,-1,-1.0
dynamic_degradation,63,100000,500,1.0,20,5000,health_ec,15.0,12.6,17.5,23.2,74.7,24.7,89.7,416771,4.2,16771,0,5115,16771,16387,6,6,0,677,40,40,9984,19.0,18.9,15207,13706,90.1
dynamic_degradation,64,100000,500,1.0,20,5000,vanilla_ec,15.0,14.0,65.0,90.7,0.0,502.9,3324.3,400000,0.0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,45.1,546.8,-1,-1,-1.0
dynamic_degradation,64,100000,500,1.0,20,5000,late_binding,15.0,11.4,16.1,19.3,78.8,38.5,52.3,500000,25.0,100000,15000,10527,100000,81396,0,-1,-1,-1,-1,2,28760,18.2,18.2,-1,-1,-1.0
dynamic_degradation,64,100000,500,1.0,20,5000,timeout_degraded_read,15.0,14.0,26.5,29.5,67.4,131.6,140.1,442138,10.5,42138,2459,8976,42138,23460,0,-1,-1,-1,2,2,18442,29.2,30.9,-1,-1,-1.0
dynamic_degradation,64,100000,500,1.0,20,5000,health_ec,15.0,12.6,17.4,23.1,74.6,22.2,87.6,416984,4.2,16984,0,5279,16984,16614,6,6,0,699,21,21,10237,19.5,19.1,15296,13811,90.3
dynamic_degradation,65,100000,500,1.0,20,5000,vanilla_ec,15.0,14.0,65.1,92.3,0.0,506.7,3337.7,400000,0.0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,43.7,548.5,-1,-1,-1.0
dynamic_degradation,65,100000,500,1.0,20,5000,late_binding,15.0,11.4,16.2,19.2,79.2,36.4,49.4,500000,25.0,100000,15000,10370,100000,81635,0,-1,-1,-1,-1,1,28511,18.1,18.2,-1,-1,-1.0
dynamic_degradation,65,100000,500,1.0,20,5000,timeout_degraded_read,15.0,14.0,26.4,29.6,67.9,131.8,141.9,442114,10.5,42114,2455,8985,42114,23449,0,-1,-1,-1,1,1,18452,29.1,31.1,-1,-1,-1.0
dynamic_degradation,65,100000,500,1.0,20,5000,health_ec,15.0,12.6,17.4,22.6,75.5,21.4,87.4,416946,4.2,16946,0,5122,16946,16535,6,6,0,681,23,23,10064,19.4,18.9,15047,13712,91.1
dynamic_degradation,66,100000,500,1.0,20,5000,vanilla_ec,15.0,14.0,65.6,91.7,0.0,507.3,3338.7,400000,0.0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,43.4,549.1,-1,-1,-1.0
dynamic_degradation,66,100000,500,1.0,20,5000,late_binding,15.0,11.4,16.2,19.3,79.0,37.9,50.1,500000,25.0,100000,15000,10529,100000,81485,0,-1,-1,-1,-1,0,29034,18.2,18.2,-1,-1,-1.0
dynamic_degradation,66,100000,500,1.0,20,5000,timeout_degraded_read,15.0,14.0,26.5,29.6,67.7,132.6,143.9,442355,10.6,42355,2464,9042,42355,23563,0,-1,-1,-1,0,0,18616,29.2,30.9,-1,-1,-1.0
dynamic_degradation,66,100000,500,1.0,20,5000,health_ec,15.0,12.6,17.5,23.0,75.0,23.9,85.4,417016,4.3,17016,0,5208,17016,16647,6,6,0,718,7,7,10197,19.1,18.9,15367,13980,91.0
dynamic_degradation,67,100000,500,1.0,20,5000,vanilla_ec,15.0,14.0,65.0,91.2,0.0,505.2,3338.3,400000,0.0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,42.8,548.2,-1,-1,-1.0
dynamic_degradation,67,100000,500,1.0,20,5000,late_binding,15.0,11.4,16.2,19.3,78.9,38.6,53.0,500000,25.0,100000,15000,10467,100000,81396,0,-1,-1,-1,-1,0,28662,18.2,18.2,-1,-1,-1.0
dynamic_degradation,67,100000,500,1.0,20,5000,timeout_degraded_read,15.0,14.0,26.5,29.6,67.5,133.1,142.8,442050,10.5,42050,2425,8991,42050,23220,0,-1,-1,-1,0,0,18379,29.0,31.1,-1,-1,-1.0
