name,case_id,seed,kind,returncode,stderr_empty,stdout_lines,expected_success,expected_stderr
slow_ratio_4pct_base_seed66_aggregate_csv_extended,slow_ratio_4pct_base,66,aggregate_extended,0,1,5,1,
slow_ratio_4pct_base_seed66_windowed_csv,slow_ratio_4pct_base,66,windowed,0,1,81,1,
slow_ratio_4pct_base_seed67_aggregate_csv_extended,slow_ratio_4pct_base,67,aggregate_extended,0,1,5,1,
slow_ratio_4pct_base_seed67_windowed_csv,slow_ratio_4pct_base,67,windowed,0,1,81,1,
slow_ratio_4pct_base_seed68_aggregate_csv_extended,slow_ratio_4pct_base,68,aggregate_extended,0,1,5,1,
slow_ratio_4pct_base_seed68_windowed_csv,slow_ratio_4pct_base,68,windowed,0,1,81,1,
slow_ratio_4pct_base_seed69_aggregate_csv_extended,slow_ratio_4pct_base,69,aggregate_extended,0,1,5,1,
slow_ratio_4pct_base_seed69_windowed_csv,slow_ratio_4pct_base,69,windowed,0,1,81,1,
slow_ratio_4pct_base_seed70_aggregate_csv_extended,slow_ratio_4pct_base,70,aggregate_extended,0,1,5,1,
slow_ratio_4pct_base_seed70_windowed_csv,slow_ratio_4pct_base,70,windowed,0,1,81,1,
slow_ratio_4pct_base_seed71_aggregate_csv_extended,slow_ratio_4pct_base,71,aggregate_extended,0,1,5,1,
slow_ratio_4pct_base_seed71_windowed_csv,slow_ratio_4pct_base,71,windowed,0,1,81,1,
slow_ratio_4pct_base_seed42_event_trace,slow_ratio_4pct_base,42,event_trace,0,1,27,1,
slow_ratio_10pct_seed42_aggregate_csv_extended,slow_ratio_10pct,42,aggregate_extended,0,1,5,1,
slow_ratio_10pct_seed42_windowed_csv,slow_ratio_10pct,42,windowed,0,1,81,1,
slow_ratio_10pct_seed43_aggregate_csv_extended,slow_ratio_10pct,43,aggregate_extended,0,1,5,1,
slow_ratio_10pct_seed43_windowed_csv,slow_ratio_10pct,43,windowed,0,1,81,1,
slow_ratio_10pct_seed44_aggregate_csv_extended,slow_ratio_10pct,44,aggregate_extended,0,1,5,1,
slow_ratio_10pct_seed44_windowed_csv,slow_ratio_10pct,44,windowed,0,1,81,1,
slow_ratio_10pct_seed45_aggregate_csv_extended,slow_ratio_10pct,45,aggregate_extended,0,1,5,1,
slow_ratio_10pct_seed45_windowed_csv,slow_ratio_10pct,45,windowed,0,1,81,1,
slow_ratio_10pct_seed46_aggregate_csv_extended,slow_ratio_10pct,46,aggregate_extended,0,1,5,1,
slow_ratio_10pct_seed46_windowed_csv,slow_ratio_10pct,46,windowed,0,1,81,1,
slow_ratio_10pct_seed47_aggregate_csv_extended,slow_ratio_10pct,47,aggregate_extended,0,1,5,1,
slow_ratio_10pct_seed47_windowed_csv,slow_ratio_10pct,47,windowed,0,1,81,1,
slow_ratio_10pct_seed48_aggregate_csv_extended,slow_ratio_10pct,48,aggregate_extended,0,1,5,1,
slow_ratio_10pct_seed48_windowed_csv,slow_ratio_10pct,48,windowed,0,1,81,1,
slow_ratio_10pct_seed49_aggregate_csv_extended,slow_ratio_10pct,49,aggregate_extended,0,1,5,1,
slow_ratio_10pct_seed49_windowed_csv,slow_ratio_10pct,49,windowed,0,1,81,1,
slow_ratio_10pct_seed50_aggregate_csv_extended,slow_ratio_10pct,50,aggregate_extended,0,1,5,1,
slow_ratio_10pct_seed50_windowed_csv,slow_ratio_10pct,50,windowed,0,1,81,1,
slow_ratio_10pct_seed51_aggregate_csv_extended,slow_ratio_10pct,51,aggregate_extended,0,1,5,1,
slow_ratio_10pct_seed51_windowed_csv,slow_ratio_10pct,51,windowed,0,1,81,1,
slow_ratio_10pct_seed52_aggregate_csv_extended,slow_ratio_10pct,52,aggregate_extended,0,1,5,1,
slow_ratio_10pct_seed52_windowed_csv,slow_ratio_10pct,52,windowed,0,1,81,1,
slow_ratio_10pct_seed53_aggregate_csv_extended,slow_ratio_10pct,53,aggregate_extended,0,1,5,1,
slow_ratio_10pct_seed53_windowed_csv,slow_ratio_10pct,53,windowed,0,1,81,1,
slow_ratio_10pct_seed54_aggregate_csv_extended,slow_ratio_10pct,54,aggregate_extended,0,1,5,1,
slow_ratio_10pct_seed54_windowed_csv,slow_ratio_10pct,54,windowed,0,1,81,1,
slow_ratio_10pct_seed55_aggregate_csv_extended,slow_ratio_10pct,55,aggregate_extended,0,1,5,1,
slow_ratio_10pct_seed55_windowed_csv,slow_ratio_10pct,55,windowed,0,1,81,1,
slow_ratio_10pct_seed56_aggregate_csv_extended,slow_ratio_10pct,56,aggregate_extended,0,1,5,1,
slow_ratio_10pct_seed56_windowed_csv,slow_ratio_10pct,56,windowed,0,1,81,1,
slow_ratio_10pct_seed57_aggregate_csv_extended,slow_ratio_10pct,57,aggregate_extended,0,1,5,1,
slow_ratio_10pct_seed57_windowed_csv,slow_ratio_10pct,57,windowed,0,1,81,1,
slow_ratio_10pct_seed58_aggregate_csv_extended,slow_ratio_10pct,58,aggregate_extended,0,1,5,1,
slow_ratio_10pct_seed58_windowed_csv,slow_ratio_10pct,58,windowed,0,1,81,1,
slow_ratio_10pct_seed59_aggregate_csv_extended,slow_ratio_10pct,59,aggregate_extended,0,1,5,1,
slow_ratio_10pct_seed59_windowed_csv,slow_ratio_10pct,59,windowed,0,1,81,1,
slow_ratio_10pct_seed60_aggregate_csv_extended,slow_ratio_10pct,60,aggregate_extended,0,1,5,1,
slow_ratio_10pct_seed60_windowed_csv,slow_ratio_10pct,60,windowed,0,1,81,1,
slow_ratio_10pct_seed61_aggregate_csv_extended,slow_ratio_10pct,61,aggregate_extended,0,1,5,1,
slow_ratio_10pct_seed61_windowed_csv,slow_ratio_10pct,61,windowed,0,1,81,1,
slow_ratio_10pct_seed62_aggregate_csv_extended,slow_ratio_10pct,62,aggregate_extended,0,1,5,1,
slow_ratio_10pct_seed62_windowed_csv,slow_ratio_10pct,62,windowed,0,1,81,1,
slow_ratio_10pct_seed63_aggregate_csv_extended,slow_ratio_10pct,63,aggregate_extended,0,1,5,1,
slow_ratio_10pct_seed63_windowed_csv,slow_ratio_10pct,63,windowed,0,1,81,1,
slow_ratio_10pct_seed64_aggregate_csv_extended,slow_ratio_10pct,64,aggregate_extended,0,1,5,1,
slow_ratio_10pct_seed64_windowed_csv,slow_ratio_10pct,64,windowed,0,1,81,1,
