scenario,num_disks,seed,num_reads,num_stripes,zipf_s,num_windows,window_size,policy,timeout_ms,p50_ms,p95_ms,p99_ms,p99_improvement_pct,post_onset_p95_auc_ms,post_onset_p99_auc_ms,issued_shard_reads,bandwidth_overhead_pct,parity_reads,pre_slowdown_parity_reads,recovery_parity_reads,proactive_or_degraded_reads,decode_count,migration_triggers,migration_true_positives,migration_false_positives,migration_false_negatives,first_detection_latency_reads,first_mitigation_latency_reads,recovery_regret_reads,post_warmup_windowed_p99_ms,severe_window_p99_ms,read_bypass_eligible_events,read_bypass_triggered_events,read_bypass_coverage_pct
dynamic_overlap_100d_4pct_hdd,100,64,1000000,5000,1.0,20,50000,vanilla_ec,15.0,12.6,17.6,54.8,0.0,18.1,554.9,4000000,0.0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,62.5,63.8,-1,-1,-1.0
dynamic_overlap_100d_4pct_hdd,100,64,1000000,5000,1.0,20,50000,late_binding,15.0,10.8,14.4,23.7,56.8,10.3,213.0,5000000,25.0,1000000,150000,10104,1000000,798555,0,-1,-1,-1,-1,121,17294,26.6,27.0,-1,-1,-1.0
dynamic_overlap_100d_4pct_hdd,100,64,1000000,5000,1.0,20,50000,timeout_degraded_read,15.0,12.6,17.5,27.5,49.7,17.2,217.5,4181664,4.5,181664,24460,8667,181664,23009,0,-1,-1,-1,121,121,10500,28.3,28.7,-1,-1,-1.0
dynamic_overlap_100d_4pct_hdd,100,64,1000000,5000,1.0,20,50000,health_ec,15.0,12.5,17.1,21.3,61.1,7.2,138.5,4018485,0.5,18485,0,6804,18485,17320,6,6,0,1243,1051,1051,8387,22.9,24.9,17553,15443,88.0
dynamic_overlap_100d_4pct_hdd,100,65,1000000,5000,1.0,20,50000,vanilla_ec,15.0,12.6,17.6,55.1,0.0,18.2,560.0,4000000,0.0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,63.4,64.3,-1,-1,-1.0
dynamic_overlap_100d_4pct_hdd,100,65,1000000,5000,1.0,20,50000,late_binding,15.0,10.8,14.4,23.5,57.4,10.3,211.9,5000000,25.0,1000000,150000,10151,1000000,798540,0,-1,-1,-1,-1,84,17275,26.7,27.1,-1,-1,-1.0
dynamic_overlap_100d_4pct_hdd,100,65,1000000,5000,1.0,20,50000,timeout_degraded_read,15.0,12.6,17.5,27.5,50.2,17.4,216.1,4181950,4.5,181950,24141,8677,181950,23020,0,-1,-1,-1,84,84,10571,28.3,28.6,-1,-1,-1.0
dynamic_overlap_100d_4pct_hdd,100,65,1000000,5000,1.0,20,50000,health_ec,15.0,12.5,17.2,21.2,61.4,7.4,137.1,4018494,0.5,18494,0,6781,18494,17380,6,6,0,1221,902,902,8404,22.8,24.9,17437,15431,88.5
dynamic_overlap_100d_4pct_hdd,100,66,1000000,5000,1.0,20,50000,vanilla_ec,15.0,12.6,17.6,55.4,0.0,18.0,559.4,4000000,0.0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,63.3,64.4,-1,-1,-1.0
dynamic_overlap_100d_4pct_hdd,100,66,1000000,5000,1.0,20,50000,late_binding,15.0,10.8,14.4,23.5,57.5,9.8,212.6,5000000,25.0,1000000,150000,10281,1000000,798425,0,-1,-1,-1,-1,24,17581,26.7,27.2,-1,-1,-1.0
dynamic_overlap_100d_4pct_hdd,100,66,1000000,5000,1.0,20,50000,timeout_degraded_read,15.0,12.6,17.5,27.5,50.4,17.1,217.8,4181861,4.5,181861,24535,8819,181861,23082,0,-1,-1,-1,24,51,10703,28.4,28.8,-1,-1,-1.0
dynamic_overlap_100d_4pct_hdd,100,66,1000000,5000,1.0,20,50000,health_ec,15.0,12.5,17.2,21.3,61.5,7.1,135.8,4018545,0.5,18545,0,6877,18545,17374,6,6,0,1231,1719,1719,8560,22.8,25.6,17486,15420,88.2
dynamic_overlap_100d_4pct_hdd,100,67,1000000,5000,1.0,20,50000,vanilla_ec,15.0,12.6,17.6,54.8,0.0,18.3,558.8,4000000,0.0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,63.1,65.0,-1,-1,-1.0
dynamic_overlap_100d_4pct_hdd,100,67,1000000,5000,1.0,20,50000,late_binding,15.0,10.8,14.4,23.3,57.5,9.7,212.5,5000000,25.0,1000000,150000,10341,1000000,798651,0,-1,-1,-1,-1,112,17578,26.1,27.3,-1,-1,-1.0
dynamic_overlap_100d_4pct_hdd,100,67,1000000,5000,1.0,20,50000,timeout_degraded_read,15.0,12.6,17.5,27.4,50.1,17.4,216.8,4181487,4.5,181487,24256,8909,181487,22987,0,-1,-1,-1,111,112,10851,27.9,29.0,-1,-1,-1.0
dynamic_overlap_100d_4pct_hdd,100,67,1000000,5000,1.0,20,50000,health_ec,15.0,12.5,17.1,21.1,61.5,7.4,133.6,4018703,0.5,18703,0,6963,18703,17522,6,6,0,1202,1121,1121,8644,22.1,24.8,17488,15561,89.0
dynamic_overlap_100d_4pct_hdd,100,68,1000000,5000,1.0,20,50000,vanilla_ec,15.0,12.6,17.6,55.2,0.0,18.0,560.7,4000000,0.0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,63.4,65.3,-1,-1,-1.0
dynamic_overlap_100d_4pct_hdd,100,68,1000000,5000,1.0,20,50000,late_binding,15.0,10.8,14.4,23.6,57.2,10.4,213.3,5000000,25.0,1000000,150000,10093,1000000,799164,0,-1,-1,-1,-1,69,17366,26.3,27.5,-1,-1,-1.0
dynamic_overlap_100d_4pct_hdd,100,68,1000000,5000,1.0,20,50000,timeout_degraded_read,15.0,12.6,17.5,27.5,50.3,17.4,218.3,4181321,4.5,181321,24112,8670,181321,22902,0,-1,-1,-1,69,69,10587,28.1,28.9,-1,-1,-1.0
dynamic_overlap_100d_4pct_hdd,100,68,1000000,5000,1.0,20,50000,health_ec,15.0,12.5,17.1,21.2,61.5,7.4,137.7,4018440,0.5,18440,0,6719,18440,17269,6,6,0,1214,609,609,8426,22.4,25.4,17437,15431,88.5
dynamic_overlap_100d_4pct_hdd,100,69,1000000,5000,1.0,20,50000,vanilla_ec,15.0,12.6,17.6,55.1,0.0,18.6,560.8,4000000,0.0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,63.5,64.4,-1,-1,-1.0
dynamic_overlap_100d_4pct_hdd,100,69,1000000,5000,1.0,20,50000,late_binding,15.0,10.8,14.4,23.7,57.1,10.4,213.8,5000000,25.0,1000000,150000,10086,1000000,798606,0,-1,-1,-1,-1,104,17284,26.4,27.4,-1,-1,-1.0
dynamic_overlap_100d_4pct_hdd,100,69,1000000,5000,1.0,20,50000,timeout_degraded_read,15.0,12.6,17.5,27.4,50.2,17.6,217.8,4180727,4.5,180727,24128,8653,180727,23098,0,-1,-1,-1,122,122,10460,28.1,28.7,-1,-1,-1.0
dynamic_overlap_100d_4pct_hdd,100,69,1000000,5000,1.0,20,50000,health_ec,15.0,12.5,17.2,21.3,61.3,7.8,137.3,4018414,0.5,18414,0,6758,18414,17282,6,6,0,1204,2559,2559,8387,23.1,24.8,17497,15378,87.9
dynamic_overlap_100d_4pct_hdd,100,70,1000000,5000,1.0,20,50000,vanilla_ec,15.0,12.6,17.6,54.7,0.0,17.9,555.5,4000000,0.0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,62.9,63.6,-1,-1,-1.0
dynamic_overlap_100d_4pct_hdd,100,70,1000000,5000,1.0,20,50000,late_binding,15.0,10.8,14.4,23.4,57.2,10.0,209.8,5000000,25.0,1000000,150000,10060,1000000,797516,0,-1,-1,-1,-1,84,17289,26.1,27.1,-1,-1,-1.0
dynamic_overlap_100d_4pct_hdd,100,70,1000000,5000,1.0,20,50000,timeout_degraded_read,15.0,12.6,17.5,27.4,50.0,17.2,213.1,4180791,4.5,180791,24095,8612,180791,22843,0,-1,-1,-1,84,84,10483,27.9,28.9,-1,-1,-1.0
dynamic_overlap_100d_4pct_hdd,100,70,1000000,5000,1.0,20,50000,health_ec,15.0,12.5,17.1,21.2,61.2,7.3,132.0,4018279,0.5,18279,0,6660,18279,17139,6,6,0,1198,1779,1779,8298,23.0,24.5,17241,15224,88.3
dynamic_overlap_100d_4pct_hdd,100,71,1000000,5000,1.0,20,50000,vanilla_ec,15.0,12.6,17.6,54.9,0.0,17.6,557.5,4000000,0.0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,63.5,64.0,-1,-1,-1.0
dynamic_overlap_100d_4pct_hdd,100,71,1000000,5000,1.0,20,50000,late_binding,15.0,10.8,14.4,23.5,57.3,9.8,214.1,5000000,25.0,1000000,150000,10041,1000000,798989,0,-1,-1,-1,-1,120,17336,26.5,27.3,-1,-1,-1.0
dynamic_overlap_100d_4pct_hdd,100,71,1000000,5000,1.0,20,50000,timeout_degraded_read,15.0,12.6,17.5,27.4,50.1,16.8,217.8,4181453,4.5,181453,24431,8640,181453,22785,0,-1,-1,-1,120,120,10508,28.1,29.0,-1,-1,-1.0
dynamic_overlap_100d_4pct_hdd,100,71,1000000,5000,1.0,20,50000,health_ec,15.0,12.5,17.1,21.4,61.1,7.1,136.0,4018417,0.5,18417,0,6761,18417,17218,6,6,0,1216,747,747,8482,23.5,24.7,17370,15255,87.8
