scenario_id,strategy_id,scenario,seed,num_disks,num_stripes,k,m,shard_size_bytes,migrated_shards,migrated_bytes,full_disk_bytes,cost_ratio,full_disk_cost_multiplier,stripe_level_migrated_stripes,stripe_level_migrated_shards,stripe_level_bytes,stripe_level_cost_ratio,pre_slowdown_migrations,migration_true_positives,migration_false_positives,migration_false_negatives
realistic_2pct,migration_disabled,dynamic_realistic_100d_2pct_hdd,68,100,5000,4,2,4096,0,0,2457600,0,inf,0,0,0,0,0,0,0,587
realistic_2pct,threshold_d2_a010,dynamic_realistic_100d_2pct_hdd,68,100,5000,4,2,4096,22,90112,2457600,0.036667,27.272727,11,66,270336,0.11,0,20,0,540
realistic_2pct,threshold_d2_a005,dynamic_realistic_100d_2pct_hdd,68,100,5000,4,2,4096,21,86016,2457600,0.035,28.571429,11,66,270336,0.11,0,21,0,544
realistic_2pct,t28_default,dynamic_realistic_100d_2pct_hdd,69,100,5000,4,2,4096,4,16384,2457600,0.006667,150,2,12,49152,0.02,0,4,0,599
realistic_2pct,migration_disabled,dynamic_realistic_100d_2pct_hdd,69,100,5000,4,2,4096,0,0,2457600,0,inf,0,0,0,0,0,0,0,607
realistic_2pct,threshold_d2_a010,dynamic_realistic_100d_2pct_hdd,69,100,5000,4,2,4096,22,90112,2457600,0.036667,27.272727,11,66,270336,0.11,0,22,0,559
realistic_2pct,threshold_d2_a005,dynamic_realistic_100d_2pct_hdd,69,100,5000,4,2,4096,21,86016,2457600,0.035,28.571429,11,66,270336,0.11,0,21,0,563
realistic_2pct,t28_default,dynamic_realistic_100d_2pct_hdd,70,100,5000,4,2,4096,4,16384,2457600,0.006667,150,2,12,49152,0.02,0,4,0,575
realistic_2pct,migration_disabled,dynamic_realistic_100d_2pct_hdd,70,100,5000,4,2,4096,0,0,2457600,0,inf,0,0,0,0,0,0,0,583
realistic_2pct,threshold_d2_a010,dynamic_realistic_100d_2pct_hdd,70,100,5000,4,2,4096,22,90112,2457600,0.036667,27.272727,11,66,270336,0.11,0,19,0,537
realistic_2pct,threshold_d2_a005,dynamic_realistic_100d_2pct_hdd,70,100,5000,4,2,4096,22,90112,2457600,0.036667,27.272727,11,66,270336,0.11,0,22,0,539
realistic_2pct,t28_default,dynamic_realistic_100d_2pct_hdd,71,100,5000,4,2,4096,4,16384,2457600,0.006667,150,2,12,49152,0.02,0,4,0,581
realistic_2pct,migration_disabled,dynamic_realistic_100d_2pct_hdd,71,100,5000,4,2,4096,0,0,2457600,0,inf,0,0,0,0,0,0,0,590
