rank,candidate_id,a_abs,b_abs,theta_s,theta_d,post_warmup_gap_ms,severe_gap_ms,best_post_warmup_gap_ms,best_severe_gap_ms,bw_ratio_median,bw_ratio_max,coverage_pct,migration_triggers,migration_fp_max,pre_slowdown_parity_reads,recovery_parity_reads
22,t2_8_2_3|A=25|B=20|S=0.03|D=24,25,20,0.03,24,-10.1,-12.2,-10.3,-12.35,0.479,0.491,92.05,4,0,0,5566
23,t2_8_2_3|A=25|B=10|S=0.03|D=24,25,10,0.03,24,-10.15,-12.3,-10.3,-12.35,0.483,0.495,91.95,4,0,0,6020
24,t2_8_2_3|A=15|B=15|S=0.03|D=24,15,15,0.03,24,-10.2,-12.3,-10.3,-12.35,0.486,0.5,97.2,4,0,26,5844.5
25,t2_8_2_3|A=20|B=20|S=0.03|D=24,20,20,0.03,24,-10.2,-12.3,-10.3,-12.35,0.495,0.505,95.2,4,0,0,5586
26,t2_8_2_3|A=25|B=10|S=0.03|D=32,25,10,0.03,32,-10.1,-12.25,-10.3,-12.35,0.498,0.528,92.25,4,0,0,6021
27,t2_8_2_3|A=15|B=10|S=0.05|D=24,15,10,0.05,24,-10.15,-12.25,-10.3,-12.35,0.498,0.505,96.4,4,0,41,6016.5
28,t2_8_2_3|A=25|B=15|S=0.03|D=32,25,15,0.03,32,-10.1,-12.25,-10.3,-12.35,0.5,0.509,92.55,4,0,0,5862.5
29,t2_8_2_3|A=20|B=10|S=0.03|D=24,20,10,0.03,24,-10.2,-12.3,-10.3,-12.35,0.5,0.505,95.6,4,0,0,6021
30,t2_8_2_3|A=20|B=20|S=0.03|D=32,20,20,0.03,32,-10.15,-12.25,-10.3,-12.35,0.505,0.528,95.3,4,0,0,5569.5
31,t2_8_2_3|A=15|B=20|S=0.03|D=24,15,20,0.03,24,-10.2,-12.3,-10.3,-12.35,0.509,0.524,96.95,4,0,26,5654.5
32,t2_8_2_3|A=15|B=15|S=0.05|D=32,15,15,0.05,32,-10.1,-12.2,-10.3,-12.35,0.512,0.524,96.35,4,0,22,5815.5
33,t2_8_2_3|A=15|B=10|S=0.05|D=32,15,10,0.05,32,-10.1,-12.3,-10.3,-12.35,0.512,0.524,96.5,4,0,41,6011.5
34,t2_8_2_3|A=20|B=15|S=0.03|D=32,20,15,0.03,32,-10.2,-12.25,-10.3,-12.35,0.514,0.524,95.8,4,0,0,5849.5
35,t2_8_2_3|A=20|B=10|S=0.03|D=32,20,10,0.03,32,-10.2,-12.3,-10.3,-12.35,0.517,0.528,95.65,4,0,0,6022
36,t2_8_2_3|A=15|B=10|S=0.03|D=24,15,10,0.03,24,-10.3,-12.35,-10.3,-12.35,0.517,0.524,97.35,4,0,45,6023.5
37,t2_8_2_3|A=15|B=20|S=0.03|D=32,15,20,0.03,32,-10.15,-12.3,-10.3,-12.35,0.524,0.538,97,4,0,26,5645.5
38,t2_8_2_3|A=15|B=15|S=0.03|D=32,15,15,0.03,32,-10.2,-12.3,-10.3,-12.35,0.526,0.538,97.45,4,0,26,5914
39,t2_8_2_3|A=15|B=10|S=0.03|D=32,15,10,0.03,32,-10.3,-12.35,-10.3,-12.35,0.531,0.547,97.4,4,0,45,6023
