candidate_id,grid_name,a_abs,b_abs,theta_s,theta_d,theta_d_mult,seeds,num_runs,feasible,p50_ms_median,p50_ms_min,p50_ms_max,p50_ms_sum,p95_ms_median,p95_ms_min,p95_ms_max,p95_ms_sum,p99_ms_median,p99_ms_min,p99_ms_max,p99_ms_sum,p99_improvement_pct_median,p99_improvement_pct_min,p99_improvement_pct_max,p99_improvement_pct_sum,post_onset_p95_auc_ms_median,post_onset_p95_auc_ms_min,post_onset_p95_auc_ms_max,post_onset_p95_auc_ms_sum,post_onset_p99_auc_ms_median,post_onset_p99_auc_ms_min,post_onset_p99_auc_ms_max,post_onset_p99_auc_ms_sum,bandwidth_overhead_pct_median,bandwidth_overhead_pct_min,bandwidth_overhead_pct_max,bandwidth_overhead_pct_sum,parity_reads_median,parity_reads_min,parity_reads_max,parity_reads_sum,pre_slowdown_parity_reads_median,pre_slowdown_parity_reads_min,pre_slowdown_parity_reads_max,pre_slowdown_parity_reads_sum,recovery_parity_reads_median,recovery_parity_reads_min,recovery_parity_reads_max,recovery_parity_reads_sum,proactive_or_degraded_reads_median,proactive_or_degraded_reads_min,proactive_or_degraded_reads_max,proactive_or_degraded_reads_sum,decode_count_median,decode_count_min,decode_count_max,decode_count_sum,migration_triggers_median,migration_triggers_min,migration_triggers_max,migration_triggers_sum,migration_true_positives_median,migration_true_positives_min,migration_true_positives_max,migration_true_positives_sum,migration_false_positives_median,migration_false_positives_min,migration_false_positives_max,migration_false_positives_sum,migration_false_negatives_median,migration_false_negatives_min,migration_false_negatives_max,migration_false_negatives_sum,first_detection_latency_reads_median,first_detection_latency_reads_min,first_detection_latency_reads_max,first_detection_latency_reads_sum,first_mitigation_latency_reads_median,first_mitigation_latency_reads_min,first_mitigation_latency_reads_max,first_mitigation_latency_reads_sum,recovery_regret_reads_median,recovery_regret_reads_min,recovery_regret_reads_max,recovery_regret_reads_sum
expanded|A=40|B=30|S=2.7|D=5.4,expanded,40,30,2.7,5.4,2,1001;1002;1003;1004;1005;1006;1007;1008;1009;1010,10,1,13.1,13.1,13.2,131.4,40.7,39.9,41.1,406.8,76.25,74.9,76.8,760.9,16.65,15.6,18,167.1,408.55,403.5,412.4,4085,575.95,563.1,585,5758,0.3,0.3,0.4,3.1,1250.5,1117,1454,12507,0,0,0,0,11.5,9,15,117,1250.5,1117,1454,12507,1241.5,1108,1436,12417,12,11,12,118,12,11,12,118,0,0,0,0,696.5,687,708,6972,263,42,1174,4852,263,42,1174,4861,338.5,275,411,3389
expanded|A=30|B=40|S=2.7|D=4.05,expanded,30,40,2.7,4.05,1.5,1001;1002;1003;1004;1005;1006;1007;1008;1009;1010,10,1,13.2,13.1,13.2,131.6,40.85,39.6,41.1,406.7,76.3,74.8,77.2,760.8,16.75,15.4,18,167.2,409.4,405.8,414.9,4092.5,576,563.3,585.5,5762.6,0.4,0.3,0.5,4.2,1626,1338,2112,16918,0,0,0,0,5.5,3,10,63,1626,1338,2112,16918,1603.5,1322,2080,16721,13,12,14,129,13,12,14,129,0,0,0,0,696.5,689,708,6969,127,8,454,1564,127,8,454,1564,310,180,389,2928
expanded|A=10|B=40|S=4|D=10,expanded,10,40,4,10,2.5,1001;1002;1003;1004;1005;1006;1007;1008;1009;1010,10,1,13,13,13.1,130.1,43.3,42,43.7,430.7,77,75.7,77.8,769,15.85,14.8,17.5,158.4,409.35,405.7,413.3,4094.7,576.35,564.1,590.7,5772.6,2,2,2.1,20.2,8135.5,7865,8395,81308,153.5,126,204,1597,238.5,209,314,2403,8135.5,7865,8395,81308,7832,7589,8086,78361,6,6,6,60,6,6,6,60,0,0,0,0,707,698,719,7076,7.5,3,21,91,8,3,21,98,1015.5,989,1144,10270
primary|A=30|B=30|S=3.4|D=6.8,primary,30,30,3.4,6.8,2,1001;1002;1003;1004;1005;1006;1007;1008;1009;1010,10,1,13.1,13.1,13.2,131.1,41.65,40.7,42,414.7,76.45,75.4,77.3,763.8,16.4,15.3,17.9,164.2,409.25,405.2,414.2,4098,576.55,564.4,585.2,5768.6,0.4,0.4,0.5,4.1,1527,1424,1809,15944,0,0,0,0,10.5,6,13,97,1527,1424,1809,15944,1514,1411,1785,15790,10,10,10,100,10,10,10,100,0,0,0,0,699,691,712,6997,127,8,454,1564,127,8,454,1564,421.5,404,450,4236
expanded|A=30|B=30|S=3.4|D=6.8,expanded,30,30,3.4,6.8,2,1001;1002;1003;1004;1005;1006;1007;1008;1009;1010,10,1,13.1,13.1,13.2,131.1,41.65,40.7,42,414.7,76.45,75.4,77.3,763.8,16.4,15.3,17.9,164.2,409.25,405.2,414.2,4098,576.55,564.4,585.2,5768.6,0.4,0.4,0.5,4.1,1527,1424,1809,15944,0,0,0,0,10.5,6,13,97,1527,1424,1809,15944,1514,1411,1785,15790,10,10,10,100,10,10,10,100,0,0,0,0,699,691,712,6997,127,8,454,1564,127,8,454,1564,421.5,404,450,4236
expanded|A=10|B=40|S=4|D=12,expanded,10,40,4,12,3,1001;1002;1003;1004;1005;1006;1007;1008;1009;1010,10,1,13,13,13.1,130.1,43.3,42,43.7,430.9,77,75.7,77.8,769.1,15.85,14.8,17.5,158.3,409.35,406.4,413.7,4096.6,576.55,564.4,590.8,5774.6,2.1,2,2.1,20.7,8303.5,7945,8565,82750,153.5,126,204,1597,243,215,335,2474,8303.5,7945,8565,82750,8004.5,7662,8250,79697,6,6,6,60,6,6,6,60,0,0,0,0,707,699,720,7080,7.5,3,21,91,8,3,21,98,1031,989,1165,10343
expanded|A=20|B=40|S=3.4|D=5.1,expanded,20,40,3.4,5.1,1.5,1001;1002;1003;1004;1005;1006;1007;1008;1009;1010,10,1,13.1,13.1,13.1,131,42.05,40.9,42.5,418.5,76.4,75.3,77.4,764.2,16.25,15.2,18,163.6,408.25,404.9,411.8,4079.3,576.95,560.7,583.8,5756,0.8,0.7,1.2,8.3,3263,2626,4776,32854,0,0,0,0,8,4,12,76,3263,2626,4776,32854,3214,2586,4670,32293,10,10,10,100,10,10,10,100,0,0,0,0,699,692,712,7005,11,5,95,227,11,5,95,230,365.5,314,392,3613
expanded|A=15|B=40|S=4|D=6,expanded,15,40,4,6,1.5,1001;1002;1003;1004;1005;1006;1007;1008;1009;1010,10,1,13.1,13,13.1,130.7,43.25,41.9,43.6,430.2,76.85,75.6,78,768.4,16.15,14.6,17.6,159.1,409.75,406.2,412.7,4096.1,576.95,561.5,590.1,5773.5,1.1,0.8,1.4,10.7,4246,3276,5743,42709,0,0,6,7,8,6,21,106,4246,3276,5743,42709,4164,3220,5617,41930,10,9,10,99,10,9,10,99,0,0,0,0,699.5,692,711,7008,10,3,29,126,11,3,29,130,259.5,219,407,2677
expanded|A=40|B=40|S=2|D=6,expanded,40,40,2,6,3,1001;1002;1003;1004;1005;1006;1007;1008;1009;1010,10,1,13.2,13.2,13.3,132.2,39.8,39.1,40.4,397.8,75.85,74.5,76.7,757.6,17.05,16,18.4,170.7,409.95,404.4,413.9,4095.5,577,560.3,584.6,5756.2,0.5,0.5,0.6,5.2,2053,1966,2482,21128,0,0,0,0,24.5,19,37,272,2053,1966,2482,21128,2038,1955,2459,20963,10,9,10,99,10,9,10,99,0,0,0,0,701,695,713,7024,263,42,1174,4852,263,42,1174,4861,657.5,612,825,6778
expanded|A=20|B=30|S=4|D=10,expanded,20,30,4,10,2.5,1001;1002;1003;1004;1005;1006;1007;1008;1009;1010,10,1,13.1,13.1,13.1,131,42.4,41.4,42.9,422.3,76.5,75.6,77.6,766.1,16,15,17.8,161.4,409.4,405.8,412.5,4093.2,577,564.3,586.1,5768.8,0.9,0.8,1.1,9.3,3675.5,3378,4269,37409,0,0,0,0,27.5,12,45,280,3675.5,3378,4269,37409,3635,3334,4212,36939,6.5,6,8,66,6.5,6,8,66,0,0,0,0,703.5,693,715,7049,11,5,95,227,11,5,95,230,845,538,937,7836
expanded|A=40|B=30|S=3|D=4.5,expanded,40,30,3,4.5,1.5,1001;1002;1003;1004;1005;1006;1007;1008;1009;1010,10,1,13.1,13.1,13.2,131.3,41.4,40.6,41.9,413.3,76.4,75.2,77.1,762.9,16.5,15.5,17.9,165.1,409,406.2,413,4095.3,577.05,564,584.4,5767.1,0.2,0.2,0.2,2,765.5,640,923,7773,0,0,0,0,3,1,6,35,765.5,640,923,7773,762,636,908,7709,14,13,14,138,14,13,14,138,0,0,0,0,693.5,685,706,6942,263,42,1174,4852,263,42,1174,4861,140,79,207,1358
expanded|A=40|B=15|S=4|D=12,expanded,40,15,4,12,3,1001;1002;1003;1004;1005;1006;1007;1008;1009;1010,10,1,13.1,13.1,13.1,131,42.75,41.5,43,425.1,76.75,75.7,77.8,767.1,16.15,14.8,17.7,160.2,408.3,406,412.9,4088.3,577.05,564.8,588.5,5776.4,0.5,0.4,0.5,4.8,1846,1762,1983,18578,0,0,0,0,32,22,49,347,1846,1762,1983,18578,1839,1757,1972,18500,6,6,6,60,6,6,6,60,0,0,0,0,703,694,714,7037,263,42,1174,4852,263,42,1174,4861,877,842,929,8799
expanded|A=40|B=20|S=4|D=6,expanded,40,20,4,6,1.5,1001;1002;1003;1004;1005;1006;1007;1008;1009;1010,10,1,13.1,13.1,13.1,131,43.05,42,43.3,427.9,76.8,75.8,77.8,767.4,16.15,14.8,17.8,160,408.55,405.2,412.2,4088.4,577.05,566.5,588.7,5779,0.2,0.1,0.2,1.8,650,582,760,6618,0,0,0,0,5,4,6,49,650,582,760,6618,645.5,579,757,6583,11,10,12,110,11,10,12,110,0,0,0,0,695.5,686,708,6966,263,42,1174,4852,263,42,1174,4861,190,77,265,1785
expanded|A=40|B=15|S=4|D=10,expanded,40,15,4,10,2.5,1001;1002;1003;1004;1005;1006;1007;1008;1009;1010,10,1,13.1,13.1,13.1,131,42.7,41.5,43,424.9,76.7,75.7,77.9,766.8,16.25,14.7,17.7,160.8,407.9,404.9,411.7,4083.6,577.2,564.2,587.9,5772.9,0.3,0.3,0.4,3.3,1368,1280,1492,13705,0,0,0,0,17,13,20,164,1368,1280,1492,13705,1362,1276,1486,13643,8,8,8,80,8,8,8,80,0,0,0,0,700,692,711,7010,263,42,1174,4852,263,42,1174,4861,559.5,507,597,5577
expanded|A=40|B=40|S=2.7|D=2.7,expanded,40,40,2.7,2.7,1,1001;1002;1003;1004;1005;1006;1007;1008;1009;1010,10,1,13.15,13.1,13.2,131.5,41.55,40.4,42,414.2,76.35,75.3,77.1,763.7,16.4,15.5,17.5,164.1,409.95,406.6,415.2,4106.2,577.3,565.2,589.6,5780.3,0.1,0.1,0.2,1.4,591,532,731,6133,0,0,0,0,2,1,3,18,591,532,731,6133,587.5,529,722,6069,15.5,14,17,155,15.5,14,17,155,0,0,0,0,693,681,705,6925,263,42,1174,4852,263,42,1174,4861,73.5,41,141,757
expanded|A=40|B=30|S=3.4|D=3.4,expanded,40,30,3.4,3.4,1,1001;1002;1003;1004;1005;1006;1007;1008;1009;1010,10,1,13.1,13.1,13.2,131.1,42.25,41.1,42.7,420.8,76.45,75.6,77.5,765,16.4,15.1,17.8,162.6,409.8,405.8,413.6,4097.2,577.3,567,586.6,5774.6,0.1,0.1,0.1,1,345.5,305,431,3546,0,0,0,0,0,0,3,6,345.5,305,431,3546,343.5,303,425,3514,14,14,15,143,14,14,15,143,0,0,0,0,692,682,706,6932,263,42,1174,4852,263,42,1174,4861,49.5,13,62,448
