case_id,sensitivity_axis,sensitivity_value,slowdown_scale,scenario,num_disks,seed,num_reads,num_stripes,zipf_s,num_windows,window_size,policy,timeout_ms,p50_ms,p95_ms,p99_ms,p99_improvement_pct,post_onset_p95_auc_ms,post_onset_p99_auc_ms,issued_shard_reads,bandwidth_overhead_pct,parity_reads,pre_slowdown_parity_reads,recovery_parity_reads,proactive_or_degraded_reads,decode_count,migration_triggers,migration_true_positives,migration_false_positives,migration_false_negatives,first_detection_latency_reads,first_mitigation_latency_reads,recovery_regret_reads,post_warmup_windowed_p99_ms,severe_window_p99_ms,read_bypass_eligible_events,read_bypass_triggered_events,read_bypass_coverage_pct
slow_ratio_10pct,slow_ratio,10pct,1,dynamic_sensitivity_100d_10pct_hdd,100,42,1000000,5000,1.0,20,50000,health_ec,15.0,12.6,17.7,43.0,34.5,23.8,361.9,4027111,0.7,27111,0,7333,27111,23069,14,14,0,2985,1619,1619,11807,31.1,66.0,23629,17950,76.0
slow_ratio_10pct,slow_ratio,10pct,1,dynamic_sensitivity_100d_10pct_hdd,100,43,1000000,5000,1.0,20,50000,vanilla_ec,15.0,12.6,18.3,65.6,0.0,190.0,505.4,4000000,0.0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,36.3,85.0,-1,-1,-1.0
slow_ratio_10pct,slow_ratio,10pct,1,dynamic_sensitivity_100d_10pct_hdd,100,43,1000000,5000,1.0,20,50000,late_binding,15.0,10.8,15.0,50.4,23.1,77.2,405.3,5000000,25.0,1000000,150000,12051,1000000,797384,0,-1,-1,-1,-1,36,36640,29.6,68.4,-1,-1,-1.0
slow_ratio_10pct,slow_ratio,10pct,1,dynamic_sensitivity_100d_10pct_hdd,100,43,1000000,5000,1.0,20,50000,timeout_degraded_read,15.0,12.6,18.2,52.9,19.5,94.7,399.1,4193923,4.8,193923,24335,10193,193923,23555,0,-1,-1,-1,36,38,17168,32.8,71.0,-1,-1,-1.0
slow_ratio_10pct,slow_ratio,10pct,1,dynamic_sensitivity_100d_10pct_hdd,100,43,1000000,5000,1.0,20,50000,health_ec,15.0,12.6,17.6,42.1,35.8,22.2,360.0,4026688,0.7,26688,0,7302,26688,22448,13,13,0,2915,1410,1410,12003,31.3,65.9,22952,17187,74.9
slow_ratio_10pct,slow_ratio,10pct,1,dynamic_sensitivity_100d_10pct_hdd,100,44,1000000,5000,1.0,20,50000,vanilla_ec,15.0,12.6,18.3,65.9,0.0,195.6,505.7,4000000,0.0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,36.1,85.2,-1,-1,-1.0
slow_ratio_10pct,slow_ratio,10pct,1,dynamic_sensitivity_100d_10pct_hdd,100,44,1000000,5000,1.0,20,50000,late_binding,15.0,10.8,15.0,50.8,22.9,78.6,405.1,5000000,25.0,1000000,150000,11886,1000000,797493,0,-1,-1,-1,-1,16,36467,29.6,68.5,-1,-1,-1.0
slow_ratio_10pct,slow_ratio,10pct,1,dynamic_sensitivity_100d_10pct_hdd,100,44,1000000,5000,1.0,20,50000,timeout_degraded_read,15.0,12.6,18.2,53.0,19.6,95.3,398.1,4193791,4.8,193791,24274,10014,193791,23626,0,-1,-1,-1,16,78,17012,32.7,70.9,-1,-1,-1.0
slow_ratio_10pct,slow_ratio,10pct,1,dynamic_sensitivity_100d_10pct_hdd,100,44,1000000,5000,1.0,20,50000,health_ec,15.0,12.6,17.7,42.9,34.9,23.2,359.0,4027110,0.7,27110,0,7232,27110,23031,13,12,0,2893,1115,1115,11898,30.9,66.4,23112,17702,76.6
slow_ratio_20pct,slow_ratio,20pct,1,dynamic_sensitivity_100d_20pct_hdd,100,42,1000000,5000,1.0,20,50000,vanilla_ec,15.0,12.7,23.7,78.9,0.0,398.4,615.6,4000000,0.0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,39.9,99.4,-1,-1,-1.0
slow_ratio_20pct,slow_ratio,20pct,1,dynamic_sensitivity_100d_20pct_hdd,100,42,1000000,5000,1.0,20,50000,late_binding,15.0,10.9,19.4,64.3,18.5,334.5,469.8,5000000,25.0,1000000,150000,20872,1000000,796275,0,-1,-1,-1,-1,3,65463,32.6,75.9,-1,-1,-1.0
slow_ratio_20pct,slow_ratio,20pct,1,dynamic_sensitivity_100d_20pct_hdd,100,42,1000000,5000,1.0,20,50000,timeout_degraded_read,15.0,12.7,22.8,67.1,14.9,332.8,472.0,4216869,5.4,216869,24130,17251,216869,33402,0,-1,-1,-1,3,3,25939,36.2,79.1,-1,-1,-1.0
slow_ratio_20pct,slow_ratio,20pct,1,dynamic_sensitivity_100d_20pct_hdd,100,42,1000000,5000,1.0,20,50000,health_ec,15.0,12.7,19.7,63.0,20.1,279.1,451.1,4044050,1.1,44050,0,10338,44050,35650,21,21,0,5888,348,348,14332,35.9,75.6,37673,27199,72.2
slow_ratio_20pct,slow_ratio,20pct,1,dynamic_sensitivity_100d_20pct_hdd,100,43,1000000,5000,1.0,20,50000,vanilla_ec,15.0,12.7,23.4,78.4,0.0,394.8,608.4,4000000,0.0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,39.8,98.1,-1,-1,-1.0
slow_ratio_20pct,slow_ratio,20pct,1,dynamic_sensitivity_100d_20pct_hdd,100,43,1000000,5000,1.0,20,50000,late_binding,15.0,10.9,19.2,64.2,18.2,332.0,467.2,5000000,25.0,1000000,150000,20426,1000000,796041,0,-1,-1,-1,-1,8,64756,32.5,75.4,-1,-1,-1.0
slow_ratio_20pct,slow_ratio,20pct,1,dynamic_sensitivity_100d_20pct_hdd,100,43,1000000,5000,1.0,20,50000,timeout_degraded_read,15.0,12.7,22.6,66.9,14.6,330.4,469.2,4216572,5.4,216572,24335,16830,216572,33049,0,-1,-1,-1,8,8,25416,36.0,78.7,-1,-1,-1.0
slow_ratio_20pct,slow_ratio,20pct,1,dynamic_sensitivity_100d_20pct_hdd,100,43,1000000,5000,1.0,20,50000,health_ec,15.0,12.7,19.5,62.7,20.0,273.2,448.0,4043052,1.1,43052,0,10272,43052,35162,21,21,0,5863,603,603,14201,36.0,75.7,36831,26729,72.6
slow_ratio_20pct,slow_ratio,20pct,1,dynamic_sensitivity_100d_20pct_hdd,100,44,1000000,5000,1.0,20,50000,vanilla_ec,15.0,12.7,23.4,78.7,0.0,395.4,619.6,4000000,0.0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,39.9,98.6,-1,-1,-1.0
slow_ratio_20pct,slow_ratio,20pct,1,dynamic_sensitivity_100d_20pct_hdd,100,44,1000000,5000,1.0,20,50000,late_binding,15.0,10.9,19.2,64.2,18.4,331.4,467.7,5000000,25.0,1000000,150000,20592,1000000,796048,0,-1,-1,-1,-1,3,65105,32.5,75.7,-1,-1,-1.0
slow_ratio_20pct,slow_ratio,20pct,1,dynamic_sensitivity_100d_20pct_hdd,100,44,1000000,5000,1.0,20,50000,timeout_degraded_read,15.0,12.7,22.6,67.0,14.9,330.6,469.7,4216677,5.4,216677,24274,17043,216677,33180,0,-1,-1,-1,3,16,25680,36.0,78.9,-1,-1,-1.0
slow_ratio_20pct,slow_ratio,20pct,1,dynamic_sensitivity_100d_20pct_hdd,100,44,1000000,5000,1.0,20,50000,health_ec,15.0,12.7,19.5,62.8,20.2,273.8,447.7,4043323,1.1,43323,0,10647,43323,35419,20,19,0,5828,390,406,14649,35.8,76.1,36800,26587,72.2
zipf_0_8,zipf,0.8,1,dynamic_sensitivity_100d_4pct_hdd,100,42,1000000,5000,0.8,20,50000,vanilla_ec,15.0,12.6,17.6,46.0,0.0,19.8,426.6,4000000,0.0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,32.4,75.9,-1,-1,-1.0
zipf_0_8,zipf,0.8,1,dynamic_sensitivity_100d_4pct_hdd,100,42,1000000,5000,0.8,20,50000,late_binding,15.0,10.8,14.6,28.8,37.5,13.8,282.2,5000000,25.0,1000000,150000,7845,1000000,796636,0,-1,-1,-1,-1,61,23485,23.7,54.5,-1,-1,-1.0
zipf_0_8,zipf,0.8,1,dynamic_sensitivity_100d_4pct_hdd,100,42,1000000,5000,0.8,20,50000,timeout_degraded_read,15.0,12.6,17.5,29.8,35.3,18.9,261.5,4182070,4.6,182070,24309,6261,182070,22054,0,-1,-1,-1,61,61,11238,26.4,54.5,-1,-1,-1.0
zipf_0_8,zipf,0.8,1,dynamic_sensitivity_100d_4pct_hdd,100,42,1000000,5000,0.8,20,50000,health_ec,15.0,12.6,17.4,28.3,38.5,12.8,247.4,4019652,0.5,19652,0,5533,19652,18044,6,6,0,1674,1228,1228,9196,26.2,52.4,17988,14680,81.6
zipf_0_8,zipf,0.8,1,dynamic_sensitivity_100d_4pct_hdd,100,43,1000000,5000,0.8,20,50000,vanilla_ec,15.0,12.6,17.6,44.9,0.0,19.3,421.3,4000000,0.0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,32.8,74.6,-1,-1,-1.0
zipf_0_8,zipf,0.8,1,dynamic_sensitivity_100d_4pct_hdd,100,43,1000000,5000,0.8,20,50000,late_binding,15.0,10.8,14.6,28.3,37.1,13.8,281.0,5000000,25.0,1000000,150000,7937,1000000,796512,0,-1,-1,-1,-1,11,23180,23.8,53.7,-1,-1,-1.0
zipf_0_8,zipf,0.8,1,dynamic_sensitivity_100d_4pct_hdd,100,43,1000000,5000,0.8,20,50000,timeout_degraded_read,15.0,12.6,17.5,29.4,34.5,18.6,258.7,4182528,4.6,182528,24246,6459,182528,22004,0,-1,-1,-1,15,53,11268,26.3,53.7,-1,-1,-1.0
zipf_0_8,zipf,0.8,1,dynamic_sensitivity_100d_4pct_hdd,100,43,1000000,5000,0.8,20,50000,health_ec,15.0,12.6,17.4,28.1,37.6,12.2,244.6,4019465,0.5,19465,0,5559,19465,17868,6,6,0,1696,217,217,9262,26.3,52.1,17874,14429,80.7
zipf_0_8,zipf,0.8,1,dynamic_sensitivity_100d_4pct_hdd,100,44,1000000,5000,0.8,20,50000,vanilla_ec,15.0,12.6,17.6,44.1,0.0,19.2,421.9,4000000,0.0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,32.6,75.2,-1,-1,-1.0
zipf_0_8,zipf,0.8,1,dynamic_sensitivity_100d_4pct_hdd,100,44,1000000,5000,0.8,20,50000,late_binding,15.0,10.8,14.6,28.4,35.5,13.9,282.2,5000000,25.0,1000000,150000,7759,1000000,796033,0,-1,-1,-1,-1,15,23078,23.7,53.9,-1,-1,-1.0
zipf_0_8,zipf,0.8,1,dynamic_sensitivity_100d_4pct_hdd,100,44,1000000,5000,0.8,20,50000,timeout_degraded_read,15.0,12.6,17.5,29.5,33.0,18.6,259.3,4181885,4.5,181885,23976,6259,181885,22019,0,-1,-1,-1,15,15,11082,26.3,53.9,-1,-1,-1.0
zipf_0_8,zipf,0.8,1,dynamic_sensitivity_100d_4pct_hdd,100,44,1000000,5000,0.8,20,50000,health_ec,15.0,12.5,17.4,28.2,35.9,12.2,247.2,4019456,0.5,19456,0,5388,19456,17824,6,6,0,1704,1545,1545,9131,26.4,51.7,18100,14477,80.0
zipf_1_2,zipf,1.2,1,dynamic_sensitivity_100d_4pct_hdd,100,42,1000000,5000,1.2,20,50000,vanilla_ec,15.0,12.5,17.2,27.1,0.0,8.9,349.0,4000000,0.0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,29.0,66.8,-1,-1,-1.0
zipf_1_2,zipf,1.2,1,dynamic_sensitivity_100d_4pct_hdd,100,42,1000000,5000,1.2,20,50000,late_binding,15.0,10.7,14.3,19.0,29.8,6.6,215.8,5000000,25.0,1000000,150000,4591,1000000,798144,0,-1,-1,-1,-1,64,13458,20.6,46.2,-1,-1,-1.0
zipf_1_2,zipf,1.2,1,dynamic_sensitivity_100d_4pct_hdd,100,42,1000000,5000,1.2,20,50000,timeout_degraded_read,15.0,12.5,17.2,23.2,14.1,8.6,200.4,4173749,4.3,173749,24412,3821,173749,14682,0,-1,-1,-1,64,64,6981,24.5,46.2,-1,-1,-1.0
zipf_1_2,zipf,1.2,1,dynamic_sensitivity_100d_4pct_hdd,100,42,1000000,5000,1.2,20,50000,health_ec,15.0,12.5,17.0,20.0,26.3,4.3,95.3,4007529,0.2,7529,0,2016,7529,6917,6,6,0,558,5839,5839,3383,20.8,32.4,7795,5691,73.0
zipf_1_2,zipf,1.2,1,dynamic_sensitivity_100d_4pct_hdd,100,43,1000000,5000,1.2,20,50000,vanilla_ec,15.0,12.5,17.2,27.1,0.0,8.5,352.0,4000000,0.0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,28.9,67.8,-1,-1,-1.0
zipf_1_2,zipf,1.2,1,dynamic_sensitivity_100d_4pct_hdd,100,43,1000000,5000,1.2,20,50000,late_binding,15.0,10.7,14.3,18.9,30.4,6.7,219.9,5000000,25.0,1000000,150000,4448,1000000,798243,0,-1,-1,-1,-1,48,13274,20.4,46.9,-1,-1,-1.0
zipf_1_2,zipf,1.2,1,dynamic_sensitivity_100d_4pct_hdd,100,43,1000000,5000,1.2,20,50000,timeout_degraded_read,15.0,12.5,17.2,23.2,14.4,8.4,203.2,4173592,4.3,173592,24409,3695,173592,14843,0,-1,-1,-1,48,127,6791,24.5,46.9,-1,-1,-1.0
zipf_1_2,zipf,1.2,1,dynamic_sensitivity_100d_4pct_hdd,100,43,1000000,5000,1.2,20,50000,health_ec,15.0,12.5,17.0,20.0,26.3,4.2,109.4,4007536,0.2,7536,0,1948,7536,6977,6,6,0,546,2531,2531,3292,20.9,34.1,7815,5744,73.5
zipf_1_2,zipf,1.2,1,dynamic_sensitivity_100d_4pct_hdd,100,44,1000000,5000,1.2,20,50000,vanilla_ec,15.0,12.5,17.2,27.0,0.0,8.3,351.0,4000000,0.0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,29.0,67.0,-1,-1,-1.0
